landslide_id,latitude,longitude,date,state,district,rainfall_24h,rainfall_3day,rainfall_7day,rainfall_30day,elevation,slope,aspect,curvature,land_cover,soil_type,geology,historical_landslide_density,landslide,data_source
LS-NER-10046,27.8953,88.1815,2024-10-03,Sikkim,Gangtok (East),111.8,310.5,605.0,1284.7,1885.0,41.6,113.8,-0.356,Open Forest,Lateritic Soil,Phyllite & Schist,10.5,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10047,27.4014,88.6728,2020-05-25,Sikkim,Gangtok (East),124.5,264.8,471.8,1196.5,2165.0,43.0,338.3,-0.42,Open Forest,Alluvial Soil,Phyllite & Schist,9.8,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10048,27.6335,88.8045,2020-08-06,Sikkim,Gangtok (East),181.1,412.4,676.2,1416.1,1782.0,45.1,205.2,-0.279,Barren Slope,Red Sandy Soil,Phyllite & Schist,10.0,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10049,27.2275,88.3576,2024-09-08,Sikkim,Gangtok (East),115.1,338.0,774.5,1246.3,1923.0,33.7,257.8,-0.26,Barren Slope,Sandy Loam,Phyllite & Schist,16.5,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10050,27.2534,88.5276,2020-10-18,Sikkim,Gangtok (East),196.7,284.6,635.0,1346.9,2174.0,52.0,330.8,-0.385,Barren Slope,Sandy Loam,Phyllite & Schist,9.7,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10051,27.5241,88.6628,2022-05-22,Sikkim,Gangtok (East),64.2,157.4,419.3,1148.9,1975.0,40.0,212.9,-0.111,Agriculture,Alluvial Soil,Phyllite & Schist,12.7,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10052,27.4335,88.3584,2022-05-26,Sikkim,Gangtok (East),60.0,297.3,534.8,1138.3,1987.0,48.4,211.3,-0.463,Open Forest,Red Sandy Soil,Phyllite & Schist,14.9,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10053,28.0148,88.3262,2021-07-22,Sikkim,Gangtok (East),174.7,294.0,713.5,1108.4,1779.0,42.9,24.1,-0.74,Open Forest,Alluvial Soil,Phyllite & Schist,20.2,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10054,27.1365,88.4249,2020-07-18,Sikkim,Gangtok (East),103.3,213.4,432.3,1194.9,1949.0,44.2,144.3,-0.433,Barren Slope,Lateritic Soil,Phyllite & Schist,17.0,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10055,27.3707,88.5796,2023-08-01,Sikkim,Gangtok (East),106.2,339.3,663.2,1346.9,1565.0,48.9,122.1,-0.622,Barren Slope,Lateritic Soil,Phyllite & Schist,20.2,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10056,28.0626,88.85,2025-10-21,Sikkim,Gangtok (East),60.0,174.5,505.8,1021.8,2119.0,44.6,74.8,-0.791,Barren Slope,Sandy Loam,Phyllite & Schist,11.6,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10057,27.9174,88.3076,2022-06-02,Sikkim,Gangtok (East),373.6,585.9,793.1,1559.4,2121.0,37.8,106.0,-0.363,Barren Slope,Lateritic Soil,Phyllite & Schist,6.3,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10058,27.5848,88.4612,2021-05-08,Sikkim,Gangtok (East),94.0,206.8,451.0,741.3,1730.0,50.8,354.4,-0.702,Agriculture,Sandy Loam,Phyllite & Schist,14.7,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10059,27.9151,88.4483,2024-06-17,Sikkim,Gangtok (East),137.8,251.3,675.3,1189.8,2095.0,48.1,216.2,-0.656,Barren Slope,Red Sandy Soil,Phyllite & Schist,13.3,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10060,27.522,88.3185,2020-10-11,Sikkim,Gangtok (East),60.0,264.8,516.0,1113.2,2037.0,47.9,103.9,-0.628,Barren Slope,Sandy Loam,Phyllite & Schist,10.2,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10061,27.5838,88.2429,2022-08-19,Sikkim,Gangtok (East),60.0,213.3,578.7,1193.7,2047.0,44.9,124.0,-0.131,Barren Slope,Clay Loam,Phyllite & Schist,11.1,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10062,27.9191,88.7195,2025-08-19,Sikkim,Gangtok (East),92.8,191.4,627.7,1332.4,2197.0,53.2,248.6,-0.127,Agriculture,Alluvial Soil,Phyllite & Schist,10.7,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10063,27.7588,88.623,2020-10-08,Sikkim,Gangtok (East),925.3,1102.7,1403.2,1858.4,2147.0,45.1,211.8,-0.315,Barren Slope,Alluvial Soil,Phyllite & Schist,11.6,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10064,27.2926,88.1038,2024-07-23,Sikkim,Gangtok (East),60.0,244.2,476.6,824.1,2226.0,44.5,298.4,-0.209,Barren Slope,Sandy Loam,Phyllite & Schist,12.3,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10065,27.7963,88.3059,2020-08-07,Sikkim,Gangtok (East),78.1,328.5,496.6,880.5,2097.0,52.2,150.3,-0.284,Built-up Settlement,Sandy Loam,Phyllite & Schist,15.5,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10066,27.17,88.0085,2024-09-17,Sikkim,Gangtok (East),60.0,200.5,514.8,1204.9,1995.0,43.2,143.4,-0.393,Barren Slope,Clay Loam,Phyllite & Schist,10.8,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10067,27.5673,88.2673,2021-06-04,Sikkim,Gangtok (East),364.8,527.3,867.1,1240.6,1759.0,36.3,316.5,-0.324,Barren Slope,Red Sandy Soil,Phyllite & Schist,12.0,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10068,27.3317,88.8485,2022-10-21,Sikkim,Gangtok (East),190.5,333.3,517.5,1340.2,1686.0,40.7,67.1,-0.676,Barren Slope,Clay Loam,Phyllite & Schist,12.7,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10069,28.0278,88.8954,2021-09-27,Sikkim,Gangtok (East),60.0,294.3,703.1,1239.3,2633.0,36.7,269.2,-0.103,Agriculture,Lateritic Soil,Phyllite & Schist,19.2,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10070,27.2295,88.7999,2023-05-02,Sikkim,Gangtok (East),60.0,144.9,507.7,815.0,1986.0,41.3,101.3,-0.148,Agriculture,Sandy Loam,Phyllite & Schist,11.9,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10071,27.3202,88.6149,2020-09-13,Sikkim,Gangtok (East),92.8,322.7,559.4,927.5,2007.0,47.6,264.2,-0.4,Built-up Settlement,Clay Loam,Phyllite & Schist,15.8,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10072,27.937,88.6277,2022-06-04,Sikkim,Gangtok (East),220.2,325.9,587.7,1284.1,1870.0,44.5,10.5,-0.183,Agriculture,Sandy Loam,Phyllite & Schist,13.9,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10073,27.6562,88.681,2021-08-07,Sikkim,Gangtok (East),190.7,292.7,673.8,1256.9,1702.0,47.3,194.4,-0.113,Built-up Settlement,Sandy Loam,Phyllite & Schist,14.8,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10074,27.7326,88.8388,2023-09-22,Sikkim,Gangtok (East),155.4,319.0,503.2,825.0,2104.0,38.6,277.6,-0.137,Barren Slope,Sandy Loam,Phyllite & Schist,10.6,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10075,28.0901,88.6084,2022-08-04,Sikkim,Gangtok (East),144.9,303.8,548.4,1386.8,1895.0,45.5,277.3,-0.783,Barren Slope,Clay Loam,Phyllite & Schist,12.1,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10076,27.5514,88.1473,2023-09-11,Sikkim,Gangtok (East),416.2,505.5,878.3,1667.6,2093.0,35.9,312.5,-0.639,Barren Slope,Alluvial Soil,Phyllite & Schist,14.2,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10077,28.0645,88.6841,2022-09-03,Sikkim,Gangtok (East),251.7,415.2,854.3,1238.2,1959.0,47.6,132.7,-0.639,Barren Slope,Clay Loam,Phyllite & Schist,12.7,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10078,27.8766,88.6938,2023-10-18,Sikkim,Gangtok (East),60.0,244.5,582.5,1001.1,2103.0,43.1,166.4,-0.123,Barren Slope,Clay Loam,Phyllite & Schist,11.7,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10079,27.2608,88.5864,2021-09-21,Sikkim,Gangtok (East),115.5,248.5,611.1,1372.8,2199.0,41.5,172.8,-0.481,Barren Slope,Clay Loam,Phyllite & Schist,12.0,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10080,27.5805,88.0944,2020-05-12,Sikkim,Gangtok (East),188.4,430.5,618.8,1198.0,1935.0,41.2,124.6,-0.462,Barren Slope,Clay Loam,Phyllite & Schist,12.6,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10081,27.1825,88.7421,2021-06-22,Sikkim,Gangtok (East),119.6,253.8,683.7,1494.2,2111.0,47.7,222.0,-0.771,Built-up Settlement,Red Sandy Soil,Phyllite & Schist,13.1,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10082,27.4395,88.7333,2023-07-20,Sikkim,Gangtok (East),72.7,278.5,612.6,1256.8,2270.0,47.5,59.0,-0.463,Barren Slope,Clay Loam,Phyllite & Schist,13.9,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10083,27.7157,88.2961,2024-10-04,Sikkim,Gangtok (East),706.7,954.5,1304.6,1696.3,1885.0,46.1,82.2,-0.339,Built-up Settlement,Lateritic Soil,Phyllite & Schist,17.7,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10084,27.1722,88.0276,2023-05-07,Sikkim,Gangtok (East),88.6,263.9,575.8,1185.1,2226.0,45.7,276.4,-0.36,Agriculture,Sandy Loam,Phyllite & Schist,11.7,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10085,27.4955,88.5456,2025-06-04,Sikkim,Gangtok (East),65.5,250.6,595.7,1084.5,1727.0,40.4,279.4,-0.531,Built-up Settlement,Sandy Loam,Phyllite & Schist,11.0,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10086,27.9544,88.4431,2023-10-22,Sikkim,Gangtok (East),133.0,269.4,549.1,1309.6,2322.0,46.5,34.3,-0.394,Built-up Settlement,Alluvial Soil,Phyllite & Schist,7.6,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10087,27.8735,88.1178,2022-09-23,Sikkim,Gangtok (East),111.7,355.1,593.8,1075.0,2199.0,43.4,161.8,-0.568,Barren Slope,Red Sandy Soil,Phyllite & Schist,9.8,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10088,27.7055,88.3211,2020-08-05,Sikkim,Gangtok (East),60.0,189.3,373.3,950.8,2076.0,45.7,74.1,-0.39,Agriculture,Red Sandy Soil,Phyllite & Schist,13.8,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10089,27.1393,88.1099,2024-10-05,Sikkim,Gangtok (East),60.0,233.4,436.6,790.9,2154.0,50.9,187.8,-0.522,Built-up Settlement,Red Sandy Soil,Phyllite & Schist,7.9,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10090,27.3019,88.6061,2020-06-21,Sikkim,Gangtok (East),136.5,384.9,657.7,947.5,1856.0,46.0,91.9,-0.636,Open Forest,Sandy Loam,Phyllite & Schist,14.0,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10091,27.9309,88.7781,2022-05-12,Sikkim,Gangtok (East),60.0,254.5,702.3,1009.3,2090.0,44.8,234.4,-0.326,Barren Slope,Clay Loam,Phyllite & Schist,9.2,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10092,27.5069,88.7837,2024-05-21,Sikkim,Gangtok (East),72.6,308.0,721.8,1179.4,1879.0,50.5,333.2,-0.345,Agriculture,Alluvial Soil,Phyllite & Schist,11.5,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
