rainfall_1h,rainfall_6h,rainfall_24h,previous_rainfall,elevation,slope,drainage_density,built_up_percentage,distance_to_waterbody,historical_flood_frequency,flooded,water_depth_cm,zone_id
29.8,59.1,79.2,4.6,293.48,0.85,2.23,92.5,0.07,17,1,39.0,ZONE-HW01
5.6,17.4,82.8,71.0,275.53,0.22999999999999998,1.39,65.3,0.18000000000000002,16,1,63.7,ZONE-HW05
32.7,51.9,58.3,87.4,285.93,0.7899999999999999,3.1,71.1,2.22,7,0,0.0,ZONE-HW03
21.5,46.2,119.9,47.7,285.99,0.73,2.98,70.1,2.16,7,0,0.0,ZONE-HW03
11.1,27.8,29.1,8.0,261.63,0.30000000000000004,1.82,88.5,0.75,15,0,0.0,ZONE-RK04
0.5,30.9,49.8,49.7,267.46,0.88,2.94,72.4,0.27,6,0,0.0,ZONE-RK01
35.7,44.3,70.7,98.6,287.43,0.33,1.8699999999999999,89.4,0.4,12,1,42.2,ZONE-HW04
3.9,6.3,23.4,12.3,284.38,0.62,2.97,69.5,2.2,7,0,0.0,ZONE-HW03
39.8,89.3,139.5,143.6,268.35,0.9,2.6399999999999997,74.4,0.27999999999999997,6,1,70.3,ZONE-RK01
24.4,30.6,142.1,54.3,261.88,0.41000000000000003,1.6600000000000001,86.1,0.8,15,1,73.3,ZONE-RK04
24.7,92.6,111.7,8.2,264.89,0.5700000000000001,1.62,89.3,0.65,14,1,71.2,ZONE-RK02
3.9,20.6,105.8,138.0,265.85,0.5700000000000001,1.4700000000000002,91.9,0.57,14,1,68.5,ZONE-RK02
0.1,21.5,48.5,17.6,267.33,0.7000000000000001,2.76,77.6,0.32999999999999996,6,0,0.0,ZONE-RK01
1.9,14.3,157.5,27.3,293.85,0.99,2.4000000000000004,95.3,0.07,17,1,61.7,ZONE-HW01
11.0,47.4,70.0,249.7,293.44,0.81,2.29,92.4,0.05,17,1,62.2,ZONE-HW01
49.2,57.9,92.3,25.1,288.01,0.47000000000000003,1.56,91.8,0.36000000000000004,12,1,43.0,ZONE-HW04
5.0,6.1,53.1,48.9,265.35,0.45,1.4500000000000002,94.3,0.57,14,1,44.1,ZONE-RK02
0.8,10.6,130.0,19.2,264.84,0.52,1.61,94.6,0.57,14,1,69.4,ZONE-RK02
2.3,22.5,234.7,19.4,262.03,0.33,1.86,87.7,0.8400000000000001,15,1,75.4,ZONE-RK04
16.7,59.7,73.3,91.2,267.92,0.9,3.0,72.4,0.27,6,0,0.0,ZONE-RK01
6.9,36.9,87.1,53.7,293.26,0.87,2.0300000000000002,93.5,0.05,17,1,48.0,ZONE-HW01
1.4,55.5,74.8,14.5,275.41,0.32,1.5899999999999999,65.9,0.15000000000000002,16,1,58.3,ZONE-HW05
0.6,27.4,84.0,1.2,294.86,0.8200000000000001,2.35,93.6,0.09,17,0,0.0,ZONE-HW01
10.8,18.5,70.3,13.4,274.31,0.26,1.2799999999999998,64.1,0.22,16,1,49.2,ZONE-HW05
17.6,32.3,170.3,10.4,274.98,0.38,1.54,62.6,0.19,16,1,68.9,ZONE-HW05
6.3,9.9,139.2,146.9,267.67,0.73,2.9899999999999998,73.0,0.29,6,1,59.1,ZONE-RK01
4.5,36.9,121.9,56.7,274.02,0.21999999999999997,1.5499999999999998,67.4,0.2,16,1,72.0,ZONE-HW05
11.3,19.6,24.5,159.3,274.3,0.22999999999999998,1.3199999999999998,67.4,0.23,16,1,51.5,ZONE-HW05
34.6,64.7,85.4,30.1,285.42,0.45,1.34,92.7,1.1400000000000001,13,0,0.0,ZONE-HW02
19.4,87.6,196.7,105.9,285.95,0.75,3.17,68.4,2.1700000000000004,7,0,0.0,ZONE-HW03
15.4,18.0,26.8,160.2,260.76,0.19999999999999998,1.29,67.0,0.14,19,1,69.5,ZONE-RK03
14.0,14.3,19.6,76.2,262.03,0.46,1.6400000000000001,90.2,0.8400000000000001,15,0,0.0,ZONE-RK04
0.1,5.4,45.2,82.4,261.9,0.48000000000000004,1.74,89.9,0.8400000000000001,15,1,34.5,ZONE-RK04
15.8,23.4,85.7,19.0,262.3,0.36000000000000004,1.6300000000000001,89.6,0.79,15,1,58.0,ZONE-RK04
5.9,47.1,99.5,132.4,274.66,0.21,1.5499999999999998,63.6,0.21000000000000002,16,1,73.3,ZONE-HW05
16.1,41.3,46.2,32.1,267.22,0.79,2.8899999999999997,73.9,0.31,6,0,0.0,ZONE-RK01
4.6,13.0,193.6,35.0,274.23,0.38,1.2799999999999998,62.3,0.19,16,1,71.6,ZONE-HW05
33.4,63.3,142.5,48.9,275.37,0.39,1.49,63.2,0.19,16,1,74.2,ZONE-HW05
12.9,33.2,44.1,89.7,286.25,0.53,1.35,93.4,1.1,13,0,0.0,ZONE-HW02
4.9,5.6,57.4,13.6,284.65,0.74,3.02,68.2,2.22,7,0,0.0,ZONE-HW03
42.3,134.6,257.8,32.4,285.35,0.7799999999999999,3.05,68.8,2.2,7,1,54.5,ZONE-HW03
0.2,79.3,107.2,238.1,293.42,0.96,2.24,93.9,0.05,17,1,72.0,ZONE-HW01
49.7,107.2,124.6,34.0,274.95,0.38,1.52,63.0,0.16,16,1,70.8,ZONE-HW05
28.6,40.0,49.3,57.0,285.19,0.59,1.39,89.9,1.1300000000000001,13,0,0.0,ZONE-HW02
41.3,77.0,119.2,7.2,259.05,0.25,1.19,70.1,0.060000000000000005,19,1,71.0,ZONE-RK03
14.3,152.6,160.1,51.1,262.94,0.38,1.76,85.9,0.8200000000000001,15,1,75.0,ZONE-RK04
31.5,72.0,131.7,84.9,265.56,0.44,1.7200000000000002,93.2,0.6,14,1,71.6,ZONE-RK02
6.7,17.1,100.0,116.3,264.91,0.56,1.6700000000000002,94.9,0.61,14,1,71.2,ZONE-RK02
30.3,103.6,139.4,48.7,288.23,0.44,1.7,91.0,0.4,12,1,72.0,ZONE-HW04
24.0,55.5,116.0,111.2,287.9,0.45,1.8399999999999999,87.7,0.43000000000000005,12,1,62.7,ZONE-HW04
33.1,45.5,69.0,6.9,262.05,0.32,1.71,86.6,0.78,15,1,52.9,ZONE-RK04
13.0,14.1,45.4,54.8,259.3,0.27999999999999997,1.06,66.3,0.09000000000000001,19,1,63.9,ZONE-RK03
5.1,31.9,33.4,2.7,287.83,0.34,1.67,91.4,0.41000000000000003,12,0,0.0,ZONE-HW04
25.9,39.3,46.1,51.7,268.71,0.8500000000000001,2.75,72.0,0.29,6,0,0.0,ZONE-RK01
22.0,29.3,78.1,6.2,285.71,0.7899999999999999,2.97,71.5,2.2,7,0,0.0,ZONE-HW03
0.8,23.5,62.4,71.0,262.48,0.35000000000000003,1.79,87.3,0.8200000000000001,15,1,54.0,ZONE-RK04
19.4,131.1,167.4,27.3,260.68,0.38,1.39,68.2,0.14,19,1,72.7,ZONE-RK03
23.8,33.3,62.2,5.7,267.17,0.79,2.9499999999999997,73.1,0.27999999999999997,6,0,0.0,ZONE-RK01
0.4,99.0,189.4,83.3,285.42,0.47,1.6,90.3,1.1300000000000001,13,1,73.6,ZONE-HW02
7.9,13.6,22.1,20.2,294.67,0.89,2.3000000000000003,92.3,0.1,17,0,0.0,ZONE-HW01
12.0,49.6,103.6,23.0,262.8,0.46,1.86,89.5,0.8400000000000001,15,1,61.9,ZONE-RK04
46.5,86.7,127.1,66.2,268.24,0.75,2.79,72.7,0.33999999999999997,6,1,56.2,ZONE-RK01
8.2,16.7,38.7,99.3,294.53,0.8300000000000001,2.24,96.5,0.05,17,0,0.0,ZONE-HW01
0.2,3.9,6.3,2.9,260.93,0.21999999999999997,1.01,66.9,0.12000000000000001,19,1,39.8,ZONE-RK03
29.0,65.5,97.6,7.2,285.88,0.6399999999999999,3.04,72.0,2.1700000000000004,7,0,0.0,ZONE-HW03
10.1,29.3,38.8,39.8,294.7,0.92,2.0500000000000003,97.9,0.08,17,0,0.0,ZONE-HW01
7.6,36.3,86.7,3.2,286.07,0.53,1.33,91.9,1.05,13,0,0.0,ZONE-HW02
7.0,36.5,71.5,135.9,285.64,0.62,3.18,70.8,2.23,7,0,0.0,ZONE-HW03
16.1,21.4,25.1,72.0,259.87,0.35,1.39,66.6,0.13,19,1,58.6,ZONE-RK03
0.4,26.8,167.7,60.0,287.93,0.47000000000000003,1.74,87.9,0.37,12,1,71.5,ZONE-HW04
7.4,38.3,68.9,55.2,294.76,0.85,2.1900000000000004,95.7,0.05,17,1,31.2,ZONE-HW01
42.6,57.2,219.7,165.0,285.36,0.44,1.62,90.0,1.1400000000000001,13,1,73.3,ZONE-HW02
3.3,5.5,10.8,1.3,294.11,0.9,2.08,93.4,0.05,17,0,0.0,ZONE-HW01
1.5,36.0,39.7,26.9,275.52,0.33999999999999997,1.46,64.9,0.23,16,0,0.0,ZONE-HW05
28.0,28.7,112.9,23.2,264.59,0.48,1.5,93.0,0.59,14,1,67.3,ZONE-RK02
1.9,37.7,87.3,147.0,285.85,0.55,1.43,92.2,1.08,13,1,40.9,ZONE-HW02
19.9,68.7,85.3,13.7,265.44,0.46,1.7000000000000002,94.7,0.62,14,1,60.8,ZONE-RK02
20.8,70.1,303.0,37.2,287.55,0.42000000000000004,1.8,89.6,0.45,12,1,74.6,ZONE-HW04
7.0,51.9,72.7,186.9,293.45,0.8400000000000001,2.0100000000000002,95.2,0.05,17,1,67.7,ZONE-HW01
29.3,46.1,115.6,98.3,274.58,0.39,1.46,66.5,0.16,16,1,66.0,ZONE-HW05
1.6,71.5,106.7,122.6,293.94,0.89,2.0700000000000003,92.3,0.09,17,1,66.7,ZONE-HW01
5.8,73.6,98.2,0.8,264.8,0.41000000000000003,1.6500000000000001,89.3,0.5599999999999999,14,1,66.8,ZONE-RK02
35.4,38.3,57.5,209.8,293.17,0.85,2.22,94.5,0.060000000000000005,17,1,58.6,ZONE-HW01
45.1,70.7,120.7,41.7,274.76,0.38,1.3199999999999998,65.5,0.19,16,1,70.4,ZONE-HW05
5.2,17.2,73.0,97.7,268.22,0.8500000000000001,2.98,73.2,0.27,6,0,0.0,ZONE-RK01
23.5,70.3,75.1,47.7,264.31,0.43,1.4300000000000002,89.0,0.6,14,1,65.4,ZONE-RK02
0.9,24.8,53.9,153.1,293.07,0.86,2.1100000000000003,97.2,0.05,17,1,43.5,ZONE-HW01
6.5,10.2,17.9,100.3,294.58,0.93,2.2600000000000002,97.6,0.05,17,0,0.0,ZONE-HW01
14.4,17.6,22.0,84.5,274.45,0.22999999999999998,1.3099999999999998,62.9,0.16,16,1,32.1,ZONE-HW05
1.1,52.9,114.1,5.9,293.88,0.89,2.12,94.4,0.05,17,1,57.3,ZONE-HW01
1.3,130.8,154.2,32.4,287.16,0.31000000000000005,1.67,87.9,0.38,12,1,67.5,ZONE-HW04
25.1,113.4,326.8,98.0,269.0,0.8300000000000001,2.71,72.2,0.32999999999999996,6,1,71.8,ZONE-RK01
7.1,9.7,84.8,57.2,288.83,0.34,1.73,89.8,0.4,12,1,25.3,ZONE-HW04
8.3,79.3,85.2,47.5,285.82,0.46,1.34,89.0,1.09,13,1,34.3,ZONE-HW02
0.2,19.2,22.1,8.9,285.63,0.71,2.98,68.9,2.18,7,0,0.0,ZONE-HW03
1.9,33.3,101.8,61.3,285.73,0.76,2.8,72.2,2.2,7,0,0.0,ZONE-HW03
49.1,63.2,80.0,142.1,267.38,0.77,2.9,75.8,0.32999999999999996,6,1,35.5,ZONE-RK01
3.8,102.9,103.5,245.2,274.26,0.26,1.5499999999999998,64.9,0.15000000000000002,16,1,72.8,ZONE-HW05
0.7,67.2,104.7,347.0,262.92,0.36000000000000004,1.61,87.4,0.77,15,1,74.6,ZONE-RK04
1.1,25.3,199.5,51.8,264.92,0.42,1.73,92.0,0.62,14,1,71.8,ZONE-RK02
14.9,50.6,80.9,69.1,293.83,0.9,2.1900000000000004,94.7,0.05,17,1,46.7,ZONE-HW01
13.2,82.6,84.9,23.1,275.49,0.22999999999999998,1.23,66.6,0.24000000000000002,16,1,64.4,ZONE-HW05
45.1,111.4,141.8,67.8,274.53,0.19999999999999998,1.49,67.0,0.21000000000000002,16,1,72.9,ZONE-HW05
4.9,11.2,42.4,30.5,259.89,0.3,1.13,69.6,0.09000000000000001,19,1,65.5,ZONE-RK03
13.1,15.5,198.7,299.9,263.46,0.35000000000000003,1.75,90.1,0.79,15,1,70.5,ZONE-RK04
18.0,41.0,59.5,117.7,288.41,0.46,1.65,90.0,0.43000000000000005,12,1,36.2,ZONE-HW04
17.3,22.6,143.5,121.0,288.93,0.33,1.89,88.0,0.36000000000000004,12,1,69.9,ZONE-HW04
44.9,83.7,131.2,37.9,265.05,0.49,1.6900000000000002,91.5,0.62,14,1,67.9,ZONE-RK02
40.5,100.8,103.1,1.9,288.56,0.35000000000000003,1.75,88.4,0.36000000000000004,12,1,55.1,ZONE-HW04
7.1,57.0,275.2,11.4,274.76,0.26,1.49,66.6,0.24000000000000002,16,1,68.3,ZONE-HW05
13.5,27.9,203.1,129.2,264.47,0.54,1.51,90.4,0.5599999999999999,14,1,75.7,ZONE-RK02
27.3,46.3,73.1,22.4,264.89,0.54,1.76,89.3,0.63,14,1,50.5,ZONE-RK02
0.9,60.9,144.7,572.1,285.86,0.45,1.46,92.1,1.07,13,1,69.4,ZONE-HW02
85.4,109.7,183.0,202.7,285.24,0.6499999999999999,3.17,67.9,2.2,7,1,39.9,ZONE-HW03
28.4,36.9,66.8,9.7,294.33,0.98,2.1900000000000004,93.7,0.05,17,0,0.0,ZONE-HW01
46.2,74.2,87.2,78.0,264.88,0.47,1.6400000000000001,92.8,0.59,14,1,66.3,ZONE-RK02
14.4,27.7,33.7,77.9,293.4,0.88,2.1900000000000004,93.4,0.060000000000000005,17,0,0.0,ZONE-HW01
11.0,55.4,92.1,133.8,294.99,0.86,2.39,95.9,0.05,17,1,62.8,ZONE-HW01
12.0,36.7,141.3,36.2,268.82,0.8500000000000001,2.9299999999999997,77.4,0.32999999999999996,6,1,42.6,ZONE-RK01
2.2,3.1,73.5,67.8,285.44,0.44,1.4,92.5,1.1300000000000001,13,0,0.0,ZONE-HW02
18.3,25.5,32.8,1.0,260.26,0.38,1.26,66.9,0.09000000000000001,19,1,54.5,ZONE-RK03
6.5,33.2,58.1,40.3,259.18,0.26,1.3,66.1,0.060000000000000005,19,1,68.2,ZONE-RK03
35.2,48.0,84.1,107.2,286.06,0.58,1.63,89.5,1.1300000000000001,13,0,0.0,ZONE-HW02
7.6,36.8,136.0,209.0,288.93,0.36000000000000004,1.8499999999999999,90.8,0.4,12,1,66.6,ZONE-HW04
2.4,80.7,114.6,20.9,263.22,0.44,1.99,90.8,0.8300000000000001,15,1,67.4,ZONE-RK04
9.2,126.6,160.5,27.9,284.03,0.71,2.98,71.0,2.22,7,0,0.0,ZONE-HW03
15.1,23.3,27.2,9.7,285.64,0.7899999999999999,2.84,68.4,2.1500000000000004,7,0,0.0,ZONE-HW03
2.1,7.0,14.5,71.7,274.66,0.32,1.46,65.8,0.2,16,0,0.0,ZONE-HW05
3.0,15.7,129.2,45.0,294.3,0.8200000000000001,2.02,92.2,0.1,17,1,57.3,ZONE-HW01
16.5,22.2,32.9,2.9,263.27,0.33,1.78,89.0,0.8200000000000001,15,0,0.0,ZONE-RK04
2.8,12.6,22.3,6.5,274.84,0.35,1.2599999999999998,64.5,0.16,16,0,0.0,ZONE-HW05
1.9,20.4,32.0,31.7,288.23,0.49,1.6099999999999999,90.1,0.37,12,0,0.0,ZONE-HW04
10.5,45.7,47.7,112.5,288.9,0.47000000000000003,1.54,90.1,0.4,12,0,0.0,ZONE-HW04
14.8,17.4,120.8,177.6,285.12,0.46,1.69,93.7,1.1300000000000001,13,1,56.4,ZONE-HW02
0.9,10.6,92.6,96.6,262.78,0.42000000000000004,1.61,89.7,0.77,15,1,62.2,ZONE-RK04
3.1,10.1,33.2,46.4,261.64,0.45,1.6800000000000002,86.3,0.8400000000000001,15,0,0.0,ZONE-RK04
14.4,28.2,59.2,96.3,286.55,0.56,1.54,89.7,1.1500000000000001,13,0,0.0,ZONE-HW02
0.6,9.3,71.8,157.9,260.08,0.36,1.04,70.2,0.060000000000000005,19,1,69.9,ZONE-RK03
10.8,33.6,39.3,41.5,262.68,0.30000000000000004,1.71,85.8,0.79,15,1,32.9,ZONE-RK04
11.4,19.7,35.4,33.2,264.95,0.56,1.61,89.7,0.6,14,0,0.0,ZONE-RK02
0.3,12.0,23.9,27.8,268.45,0.88,2.86,73.8,0.31,6,0,0.0,ZONE-RK01
1.9,68.3,113.3,79.6,267.12,0.8,2.76,76.1,0.3,6,1,53.8,ZONE-RK01
23.4,44.1,48.6,53.9,265.8,0.46,1.46,89.8,0.61,14,1,48.6,ZONE-RK02
13.3,54.3,82.6,9.6,285.76,0.52,1.42,91.0,1.09,13,0,0.0,ZONE-HW02
5.0,18.5,70.4,59.2,265.71,0.53,1.7100000000000002,93.3,0.57,14,1,52.9,ZONE-RK02
6.6,135.8,182.3,19.0,262.33,0.47000000000000003,1.76,89.4,0.78,15,1,70.4,ZONE-RK04
1.6,6.6,20.7,12.3,293.75,0.8300000000000001,2.37,92.4,0.08,17,0,0.0,ZONE-HW01
3.1,13.2,22.7,159.0,264.86,0.55,1.55,89.8,0.5599999999999999,14,1,46.7,ZONE-RK02
1.3,23.6,50.0,282.7,274.66,0.21999999999999997,1.3399999999999999,66.0,0.23,16,1,71.6,ZONE-HW05
1.8,17.0,191.5,140.4,268.94,0.8200000000000001,2.7399999999999998,75.5,0.27,6,1,70.8,ZONE-RK01
25.5,34.4,43.8,77.3,263.19,0.37,1.82,85.7,0.78,15,1,41.3,ZONE-RK04
39.8,64.2,106.6,23.0,285.69,0.7899999999999999,3.13,70.7,2.21,7,0,0.0,ZONE-HW03
22.0,28.2,47.8,38.8,268.22,0.8300000000000001,2.88,72.2,0.27999999999999997,6,0,0.0,ZONE-RK01
10.6,18.9,25.0,66.0,294.84,0.87,2.0700000000000003,92.9,0.07,17,0,0.0,ZONE-HW01
5.1,31.2,39.6,45.9,264.28,0.53,1.4100000000000001,93.5,0.57,14,1,40.5,ZONE-RK02
11.4,13.0,33.5,10.1,285.31,0.46,1.43,93.6,1.11,13,0,0.0,ZONE-HW02
1.0,139.0,158.5,116.2,267.31,0.8500000000000001,2.6199999999999997,72.5,0.29,6,1,70.0,ZONE-RK01
4.4,38.7,110.1,63.4,287.83,0.34,1.7,88.1,0.36000000000000004,12,1,57.7,ZONE-HW04
9.6,25.5,47.0,185.7,288.05,0.36000000000000004,1.5899999999999999,91.9,0.36000000000000004,12,1,39.0,ZONE-HW04
26.6,127.2,133.8,91.9,263.03,0.45,1.72,85.7,0.8,15,1,71.1,ZONE-RK04
41.8,47.8,51.2,94.6,259.76,0.33999999999999997,1.2,70.0,0.13,19,1,66.0,ZONE-RK03
12.8,68.1,75.6,111.0,267.87,0.79,2.63,73.9,0.29,6,1,31.1,ZONE-RK01
3.4,8.8,17.8,118.0,284.58,0.6799999999999999,3.19,68.0,2.24,7,0,0.0,ZONE-HW03
16.4,38.6,60.8,146.8,288.66,0.48000000000000004,1.54,91.1,0.37,12,1,43.2,ZONE-HW04
7.5,58.4,87.3,33.1,274.16,0.37,1.5,63.3,0.23,16,1,58.3,ZONE-HW05
9.3,20.1,88.9,48.9,265.06,0.44,1.7100000000000002,91.1,0.65,14,1,60.7,ZONE-RK02
4.0,73.0,97.2,54.9,259.47,0.22999999999999998,1.08,68.6,0.13,19,1,72.8,ZONE-RK03
35.5,64.9,71.1,196.7,260.9,0.32999999999999996,1.19,68.4,0.11,19,1,73.1,ZONE-RK03
14.8,27.0,34.5,110.6,286.73,0.53,1.3599999999999999,88.4,1.09,13,0,0.0,ZONE-HW02
14.5,37.4,149.6,108.8,294.59,0.92,2.14,92.4,0.05,17,1,65.7,ZONE-HW01
2.5,13.7,28.0,95.4,286.66,0.42,1.65,93.1,1.11,13,0,0.0,ZONE-HW02
0.5,25.8,97.7,146.6,274.77,0.32,1.5799999999999998,66.4,0.15000000000000002,16,1,72.1,ZONE-HW05
6.3,58.0,63.9,131.2,262.14,0.4,1.6600000000000001,85.4,0.76,15,1,68.9,ZONE-RK04
2.0,17.2,97.0,11.4,286.96,0.42,1.56,88.2,1.12,13,0,0.0,ZONE-HW02
3.9,42.3,106.0,71.7,288.05,0.42000000000000004,1.65,91.5,0.39,12,1,58.2,ZONE-HW04
17.8,41.3,55.8,29.7,268.58,0.8300000000000001,2.63,72.6,0.32,6,0,0.0,ZONE-RK01
3.0,74.7,118.5,35.9,293.5,0.97,2.39,95.6,0.05,17,1,59.9,ZONE-HW01
9.3,97.6,105.9,61.8,260.83,0.26,1.26,69.0,0.060000000000000005,19,1,73.4,ZONE-RK03
10.6,39.0,39.9,144.0,264.62,0.48,1.7200000000000002,93.9,0.62,14,1,59.5,ZONE-RK02
40.3,65.3,124.9,179.0,274.19,0.32999999999999996,1.4,62.1,0.18000000000000002,16,1,75.1,ZONE-HW05
18.4,23.4,66.3,65.3,286.9,0.5,1.39,88.8,1.06,13,0,0.0,ZONE-HW02
8.3,48.3,184.5,181.9,265.02,0.51,1.7000000000000002,92.2,0.62,14,1,74.9,ZONE-RK02
9.0,12.6,222.1,127.8,260.19,0.22999999999999998,1.0699999999999998,69.2,0.11,19,1,75.2,ZONE-RK03
2.0,78.1,180.1,51.2,287.09,0.37,1.79,91.8,0.41000000000000003,12,1,73.0,ZONE-HW04
13.4,28.7,31.5,28.6,287.47,0.35000000000000003,1.89,90.7,0.44,12,0,0.0,ZONE-HW04
24.4,24.5,44.8,35.5,262.24,0.49,1.99,87.8,0.78,15,1,28.1,ZONE-RK04
11.6,87.3,108.6,29.8,274.84,0.22999999999999998,1.2799999999999998,65.6,0.24000000000000002,16,1,65.9,ZONE-HW05
20.1,38.2,50.9,42.2,288.75,0.41000000000000003,1.54,91.1,0.44,12,0,0.0,ZONE-HW04
2.3,8.1,42.6,38.0,293.17,0.8300000000000001,2.18,95.1,0.08,17,0,0.0,ZONE-HW01
36.9,50.4,93.8,70.0,265.89,0.44,1.58,91.1,0.5499999999999999,14,1,63.8,ZONE-RK02
0.2,32.9,42.7,227.2,274.75,0.27999999999999997,1.23,63.3,0.18000000000000002,16,1,62.2,ZONE-HW05
2.4,18.5,23.0,403.8,286.58,0.43,1.41,93.0,1.12,13,1,46.0,ZONE-HW02
10.5,37.6,41.1,97.0,287.9,0.30000000000000004,1.53,87.5,0.43000000000000005,12,0,0.0,ZONE-HW04
3.5,72.0,83.5,14.8,275.88,0.32,1.3699999999999999,66.7,0.17,16,1,59.8,ZONE-HW05
0.6,19.8,61.4,4.8,262.34,0.46,1.78,85.7,0.8400000000000001,15,1,33.0,ZONE-RK04
22.4,40.5,77.7,40.7,268.26,0.8200000000000001,2.8899999999999997,73.7,0.25,6,0,0.0,ZONE-RK01
7.7,32.3,40.7,14.1,285.48,0.48,1.57,88.5,1.1500000000000001,13,0,0.0,ZONE-HW02
29.7,117.3,140.7,22.1,265.91,0.51,1.7100000000000002,92.0,0.5499999999999999,14,1,74.4,ZONE-RK02
15.5,31.3,32.6,11.9,268.27,0.9,2.6999999999999997,72.1,0.32999999999999996,6,0,0.0,ZONE-RK01
18.9,51.2,52.6,17.6,285.48,0.53,1.34,91.5,1.1300000000000001,13,0,0.0,ZONE-HW02
3.9,37.3,38.3,7.7,259.09,0.31,1.33,66.1,0.13,19,1,59.6,ZONE-RK03
24.1,30.0,82.9,19.0,288.26,0.46,1.53,90.7,0.4,12,0,0.0,ZONE-HW04
1.6,10.0,74.1,135.5,293.4,0.96,2.35,93.9,0.05,17,1,42.1,ZONE-HW01
26.6,41.8,96.9,16.1,274.95,0.21,1.46,63.7,0.24000000000000002,16,1,58.5,ZONE-HW05
5.2,73.2,73.9,6.3,285.55,0.56,1.47,90.4,1.09,13,0,0.0,ZONE-HW02
3.5,4.3,14.3,61.2,284.68,0.6399999999999999,3.08,69.2,2.23,7,0,0.0,ZONE-HW03
8.2,75.2,160.2,29.3,294.6,0.9500000000000001,2.0300000000000002,95.6,0.08,17,1,70.2,ZONE-HW01
4.5,18.8,63.4,21.8,285.21,0.47,1.42,90.7,1.12,13,0,0.0,ZONE-HW02
14.7,30.5,70.7,40.1,260.38,0.27,1.02,70.2,0.09000000000000001,19,1,73.5,ZONE-RK03
5.2,94.2,166.3,10.6,294.28,0.96,2.02,96.0,0.05,17,1,70.7,ZONE-HW01
30.4,50.4,162.9,112.6,260.91,0.22999999999999998,1.24,69.7,0.05,19,1,68.5,ZONE-RK03
8.3,9.0,24.6,54.6,285.72,0.59,1.31,88.9,1.09,13,0,0.0,ZONE-HW02
15.1,24.0,31.5,126.1,285.74,0.55,1.53,91.2,1.09,13,0,0.0,ZONE-HW02
62.4,84.8,94.2,22.3,293.5,0.8200000000000001,2.29,95.0,0.05,17,1,58.0,ZONE-HW01
0.3,74.0,80.3,60.1,294.55,0.9400000000000001,2.0900000000000003,95.7,0.07,17,1,56.6,ZONE-HW01
4.8,29.0,81.7,123.9,261.75,0.47000000000000003,1.78,90.4,0.79,15,1,62.5,ZONE-RK04
3.5,3.8,11.2,161.2,286.34,0.54,1.52,89.7,1.08,13,0,0.0,ZONE-HW02
31.1,58.4,104.3,76.6,260.42,0.39,1.26,69.8,0.1,19,1,68.5,ZONE-RK03
2.9,76.6,103.7,33.8,263.08,0.35000000000000003,1.8,87.2,0.81,15,1,67.7,ZONE-RK04
