rainfall_1h,rainfall_6h,rainfall_24h,previous_rainfall,elevation,slope,drainage_density,built_up_percentage,distance_to_waterbody,historical_flood_frequency,flooded,water_depth_cm,zone_id
4.0,23.6,30.4,97.2,4.119999999999999,0.7899999999999999,2.74,90.6,0.8400000000000001,8,0,0.0,ZONE-05
0.9,109.3,175.9,13.3,2.0100000000000002,0.17,1.1199999999999999,69.9,0.19999999999999998,16,1,78.9,ZONE-15
0.1,42.3,97.5,78.3,2.18,0.25,1.2,69.6,0.32999999999999996,16,1,74.3,ZONE-15
17.7,19.6,39.6,7.4,7.819999999999999,1.25,3.22,80.10000000000001,2.51,5,0,0.0,ZONE-08
23.9,48.3,66.4,3.9,2.18,0.3,1.24,87.7,0.5,18,1,69.9,ZONE-14
4.5,14.3,73.2,60.9,7.75,1.28,3.3800000000000003,75.9,2.5,5,0,0.0,ZONE-08
26.2,42.2,47.9,74.9,4.88,0.51,1.9500000000000002,95.2,1.29,14,0,0.0,ZONE-09
17.2,37.8,104.1,40.8,3.0100000000000002,0.47000000000000003,2.77,80.3,0.21000000000000002,11,1,36.4,ZONE-13
8.9,22.8,24.0,6.9,8.27,1.18,3.27,77.60000000000001,2.58,5,0,0.0,ZONE-08
0.4,25.7,42.7,42.6,3.8,0.6399999999999999,2.54,94.0,0.75,8,0,0.0,ZONE-05
28.6,35.8,59.6,84.5,7.71,1.24,3.02,75.80000000000001,2.41,5,0,0.0,ZONE-08
3.1,5.1,20.5,10.5,3.46,0.5499999999999999,2.07,87.3,0.43,13,0,0.0,ZONE-10
31.9,73.2,118.4,123.1,3.8899999999999997,0.69,2.56,91.1,0.8300000000000001,8,0,0.0,ZONE-05
19.5,24.7,125.1,46.5,3.7399999999999998,0.59,2.09,90.0,0.6,13,1,35.3,ZONE-10
19.8,76.4,93.6,7.0,2.18,0.36,1.34,82.1,0.21000000000000002,17,1,69.5,ZONE-16
3.1,17.0,93.7,118.3,3.02,0.35000000000000003,2.9699999999999998,81.7,0.27,11,1,33.1,ZONE-13
0.1,18.0,42.3,15.1,2.22,0.31,1.21,86.1,0.45,18,1,47.6,ZONE-14
1.5,11.8,140.6,23.4,1.99,0.24,1.46,81.4,0.18000000000000002,17,1,80.1,ZONE-16
8.8,39.2,59.5,214.1,2.14,0.26,1.1099999999999999,73.2,0.35,16,1,75.0,ZONE-15
39.4,46.7,77.6,21.5,3.8199999999999994,0.6599999999999999,2.79,94.0,0.81,8,0,0.0,ZONE-05
4.0,4.9,47.2,41.9,3.4499999999999997,0.62,2.0,91.1,0.43,13,0,0.0,ZONE-10
0.6,8.8,116.3,16.4,4.78,0.41000000000000003,1.9300000000000002,96.4,1.18,14,0,0.0,ZONE-09
1.9,18.7,209.7,16.6,8.16,1.1099999999999999,3.0300000000000002,79.30000000000001,2.51,5,0,0.0,ZONE-08
13.4,49.2,61.4,78.2,4.1499999999999995,0.54,2.09,87.4,0.48,13,0,0.0,ZONE-10
5.5,30.5,75.7,46.0,1.77,0.29000000000000004,1.3699999999999999,69.1,0.32,16,1,65.4,ZONE-15
1.1,46.2,63.6,12.4,4.16,0.44,2.0100000000000002,96.8,1.28,14,0,0.0,ZONE-09
0.5,22.8,73.7,1.0,8.0,1.13,3.33,79.60000000000001,2.52,5,0,0.0,ZONE-08
8.6,15.0,61.6,11.5,2.23,0.31,1.5699999999999998,86.1,0.48000000000000004,18,1,52.7,ZONE-14
14.1,26.3,150.5,8.9,4.69,0.43,2.0100000000000002,92.5,1.17,14,0,0.0,ZONE-09
5.0,8.0,124.4,125.9,1.8,0.15000000000000002,1.3599999999999999,69.3,0.32999999999999996,16,1,78.3,ZONE-15
3.6,30.6,107.1,48.6,1.7000000000000002,0.35,1.45,87.1,0.45,18,1,75.0,ZONE-14
9.1,16.0,20.4,136.5,2.05,0.21999999999999997,1.68,85.1,0.13,17,1,56.1,ZONE-16
27.7,52.8,71.4,25.8,3.8699999999999997,0.53,1.85,87.8,0.58,13,0,0.0,ZONE-10
15.5,72.4,170.6,90.8,2.42,0.24,1.2999999999999998,86.1,0.46,18,1,80.6,ZONE-14
12.3,14.5,22.4,137.3,2.38,0.35,1.67,82.4,0.13,17,1,55.7,ZONE-16
11.2,11.4,16.2,65.3,3.5100000000000002,0.30000000000000004,2.8899999999999997,81.0,0.29000000000000004,11,0,0.0,ZONE-13
0.1,4.5,40.3,70.6,7.909999999999999,1.26,3.04,80.60000000000001,2.57,5,0,0.0,ZONE-08
12.7,19.0,75.0,16.2,7.859999999999999,1.28,3.14,80.30000000000001,2.57,5,0,0.0,ZONE-08
4.7,39.0,86.2,113.5,7.72,1.14,3.1300000000000003,80.60000000000001,2.59,5,0,0.0,ZONE-08
12.9,33.9,38.3,27.5,1.6800000000000002,0.2,1.27,74.1,0.27,16,1,52.1,ZONE-15
3.7,10.7,173.3,30.0,1.54,0.29000000000000004,1.1099999999999999,69.7,0.29,16,1,78.5,ZONE-15
26.7,51.6,122.9,41.9,3.75,0.7,1.85,91.4,0.44,13,1,46.9,ZONE-10
10.3,27.3,37.1,76.9,1.6,0.39,1.52,85.3,0.25,17,1,66.2,ZONE-16
4.0,4.6,51.3,11.7,3.75,0.69,2.17,89.7,0.53,13,0,0.0,ZONE-10
33.9,110.8,221.7,27.7,4.68,0.46,2.02,93.7,1.18,14,1,70.3,ZONE-09
0.2,66.1,91.3,204.1,2.95,0.43000000000000005,2.75,83.5,0.13,11,1,63.3,ZONE-13
39.8,87.7,103.4,29.2,2.04,0.19999999999999998,1.41,83.6,0.22,17,1,77.2,ZONE-16
22.9,32.4,40.8,48.8,4.05,0.74,2.6,95.3,0.89,8,0,0.0,ZONE-05
33.0,62.8,100.8,6.1,3.33,0.36000000000000004,2.8699999999999997,82.7,0.12000000000000001,11,1,39.4,ZONE-13
11.5,126.8,133.6,43.8,8.24,1.14,3.08,75.5,2.45,5,0,0.0,ZONE-08
25.2,59.0,112.7,72.7,4.1899999999999995,0.75,2.58,95.8,0.8200000000000001,8,0,0.0,ZONE-05
5.3,14.0,88.6,99.7,2.0,0.25,1.56,81.0,0.25,17,1,75.0,ZONE-16
24.2,85.3,117.5,41.8,4.72,0.44,2.22,95.4,1.19,14,0,0.0,ZONE-09
19.2,45.4,99.9,95.3,8.43,1.1199999999999999,3.0500000000000003,78.2,2.51,5,0,0.0,ZONE-08
26.5,36.8,58.0,5.9,4.16,0.6799999999999999,2.05,90.3,0.5,13,0,0.0,ZONE-10
10.4,11.3,39.5,46.9,4.42,0.75,2.5900000000000003,92.1,0.75,8,0,0.0,ZONE-05
4.1,26.4,27.8,2.3,2.0100000000000002,0.2,1.25,70.6,0.21999999999999997,16,1,34.0,ZONE-15
20.8,32.0,38.1,44.3,1.67,0.28,1.03,69.9,0.27999999999999997,16,1,54.5,ZONE-15
17.6,23.7,67.6,5.4,7.75,1.18,3.22,77.9,2.44,5,0,0.0,ZONE-08
0.6,19.5,54.5,60.9,1.91,0.35,1.68,81.1,0.28,17,1,60.7,ZONE-16
15.5,108.6,141.3,23.4,3.6999999999999997,0.6699999999999999,2.7,95.6,0.89,8,1,31.5,ZONE-05
19.0,26.9,52.9,4.9,8.09,1.15,3.1900000000000004,77.7,2.53,5,0,0.0,ZONE-08
0.3,82.5,163.8,71.4,2.18,0.37,1.67,86.9,0.21000000000000002,17,1,80.7,ZONE-16
6.3,11.1,18.8,17.3,1.77,0.29,1.5499999999999998,86.6,0.35000000000000003,18,1,42.8,ZONE-14
9.6,40.9,89.5,19.7,3.9599999999999995,0.75,2.5500000000000003,95.0,0.8700000000000001,8,0,0.0,ZONE-05
37.2,70.7,107.1,56.8,2.0700000000000003,0.19,1.3,69.3,0.39,16,1,71.3,ZONE-15
6.5,13.6,33.4,85.1,4.72,0.53,2.2,96.9,1.14,14,0,0.0,ZONE-09
0.2,3.3,5.4,2.5,2.2,0.25,1.39,86.2,0.49,18,0,0.0,ZONE-14
23.2,53.6,82.5,6.2,4.26,0.75,2.47,94.1,0.8500000000000001,8,0,0.0,ZONE-05
8.1,24.1,32.7,34.1,4.72,0.43,2.02,94.7,1.29,14,0,0.0,ZONE-09
6.1,30.0,75.4,2.8,1.92,0.33999999999999997,1.33,85.1,0.23,17,1,64.1,ZONE-16
5.6,30.2,61.7,116.5,2.08,0.22,1.05,74.9,0.36,16,1,66.3,ZONE-15
12.9,17.3,20.6,61.7,2.13,0.21,1.56,81.1,0.18000000000000002,17,1,47.6,ZONE-16
0.3,22.3,149.1,51.4,2.37,0.32999999999999996,1.63,85.2,0.19,17,1,77.8,ZONE-16
5.9,31.7,59.3,47.3,1.8900000000000001,0.28,1.31,71.8,0.37,16,1,59.5,ZONE-15
34.1,46.3,192.5,141.5,4.08,0.6699999999999999,1.83,91.3,0.45,13,1,74.0,ZONE-10
2.6,4.4,9.2,1.1,1.87,0.3,1.43,83.9,0.17,17,1,29.5,ZONE-16
1.2,29.9,33.2,23.0,2.1,0.24000000000000002,1.1099999999999999,69.1,0.39,16,1,31.8,ZONE-15
22.4,23.0,98.8,19.9,1.99,0.35,1.58,84.9,0.2,17,1,75.1,ZONE-16
1.5,31.3,75.9,126.0,4.34,0.48,2.0,95.2,1.17,14,0,0.0,ZONE-09
15.9,56.6,71.5,11.7,3.7399999999999998,0.65,1.93,90.2,0.45,13,0,0.0,ZONE-10
16.7,57.8,267.4,31.9,1.58,0.24000000000000002,1.13,73.5,0.39,16,1,78.9,ZONE-15
5.6,43.0,61.8,160.2,7.869999999999999,1.2,3.29,81.30000000000001,2.5,5,0,0.0,ZONE-08
23.5,37.5,100.0,84.3,2.18,0.27,1.1199999999999999,71.2,0.26,16,1,75.1,ZONE-15
1.3,59.5,91.2,105.1,3.02,0.49,2.82,83.2,0.13,11,1,47.8,ZONE-13
4.6,61.1,83.3,0.7,3.78,0.6,2.5100000000000002,93.4,0.77,8,0,0.0,ZONE-05
28.3,30.7,48.0,179.8,1.9000000000000001,0.37,1.25,85.9,0.4,18,1,73.8,ZONE-14
36.1,57.4,102.4,35.7,1.82,0.36,1.5799999999999998,86.0,0.35000000000000003,18,1,75.6,ZONE-14
4.2,14.2,64.4,83.8,2.09,0.36,1.39,84.1,0.19,17,1,67.0,ZONE-16
18.8,57.8,62.1,40.9,1.84,0.32,1.54,85.4,0.29000000000000004,17,1,67.1,ZONE-16
0.7,20.6,46.8,131.2,7.909999999999999,1.1199999999999999,3.1,78.7,2.43,5,0,0.0,ZONE-08
5.2,8.3,15.2,86.0,1.96,0.32,1.42,82.4,0.24000000000000002,17,1,48.8,ZONE-16
11.6,14.3,18.3,72.4,3.76,0.6499999999999999,2.5100000000000002,95.2,0.8200000000000001,8,0,0.0,ZONE-05
0.9,44.0,99.1,5.1,8.04,1.21,3.2600000000000002,80.9,2.57,5,0,0.0,ZONE-08
1.1,109.0,130.1,27.8,4.15,0.56,2.14,96.10000000000001,1.28,14,1,36.0,ZONE-09
20.1,93.7,285.8,84.0,4.25,0.74,2.7800000000000002,93.5,0.8,8,1,71.1,ZONE-05
5.7,7.9,75.5,49.0,2.41,0.35,1.44,85.7,0.35000000000000003,18,1,65.7,ZONE-14
6.6,65.8,71.1,40.7,2.5,0.32999999999999996,1.3099999999999998,85.7,0.45,18,1,67.5,ZONE-14
0.1,15.9,18.5,7.6,4.43,0.6399999999999999,2.63,94.3,0.8,8,0,0.0,ZONE-05
1.5,27.7,89.4,52.5,4.48,0.48,2.0300000000000002,91.8,1.13,14,0,0.0,ZONE-09
39.3,51.0,66.1,121.8,2.15,0.26,1.68,85.9,0.21000000000000002,17,1,72.9,ZONE-16
3.0,85.6,86.2,210.2,3.5999999999999996,0.52,2.11,91.2,0.56,13,1,55.6,ZONE-10
0.5,55.9,89.7,297.4,4.029999999999999,0.6399999999999999,2.54,95.0,0.8300000000000001,8,0,0.0,ZONE-05
0.9,21.1,177.9,44.4,1.86,0.31,1.5699999999999998,88.1,0.44,18,1,72.8,ZONE-14
11.9,41.6,68.9,59.3,8.27,1.16,3.0100000000000002,77.80000000000001,2.44,5,0,0.0,ZONE-08
10.5,68.4,70.5,19.8,4.47,0.42,2.23,94.2,1.24,14,0,0.0,ZONE-09
36.0,91.2,118.6,58.1,1.73,0.2,1.19,71.7,0.22999999999999998,16,1,73.1,ZONE-15
3.9,9.1,37.1,26.2,3.49,0.36000000000000004,2.92,81.5,0.29000000000000004,11,0,0.0,ZONE-13
10.5,12.5,177.4,257.0,2.06,0.16,1.1199999999999999,72.5,0.4,16,1,76.8,ZONE-15
14.4,33.6,50.3,100.9,3.16,0.4,2.73,83.6,0.18000000000000002,11,0,0.0,ZONE-13
13.9,18.3,127.1,103.7,4.1,0.7,1.9,88.3,0.5700000000000001,13,1,38.8,ZONE-10
35.9,68.2,111.0,32.5,4.0,0.64,2.12,88.3,0.53,13,1,39.2,ZONE-10
32.4,82.7,84.8,1.6,3.2,0.31000000000000005,2.8,82.5,0.27,11,0,0.0,ZONE-13
5.7,47.3,243.7,9.8,3.78,0.7799999999999999,2.41,91.4,0.8700000000000001,8,1,69.9,ZONE-05
10.8,22.8,180.5,110.8,4.48,0.59,2.04,95.4,1.23,14,1,58.3,ZONE-09
21.9,37.7,61.8,19.2,2.36,0.32999999999999996,1.65,83.9,0.21000000000000002,17,1,62.1,ZONE-16
0.7,50.7,126.1,490.3,8.2,1.28,3.4000000000000004,79.9,2.49,5,0,0.0,ZONE-08
68.3,88.6,154.5,173.8,4.71,0.54,1.9400000000000002,92.2,1.16,14,1,62.2,ZONE-09
22.7,29.8,56.7,8.3,4.04,0.5599999999999999,1.95,86.9,0.51,13,0,0.0,ZONE-10
37.0,60.3,72.0,66.8,2.9400000000000004,0.32,2.9499999999999997,82.7,0.15000000000000002,11,1,39.2,ZONE-13
11.6,22.7,28.1,66.8,2.99,0.43000000000000005,2.78,83.0,0.28,11,0,0.0,ZONE-13
8.8,45.8,78.8,114.7,4.42,0.74,2.46,93.2,0.77,8,0,0.0,ZONE-05
9.6,30.2,124.4,31.0,1.9100000000000001,0.18000000000000002,1.0999999999999999,74.1,0.24,16,1,73.6,ZONE-15
1.7,2.4,65.7,58.1,3.7899999999999996,0.6799999999999999,2.54,92.3,0.8400000000000001,8,0,0.0,ZONE-05
14.6,20.6,27.2,0.9,2.48,0.32999999999999996,1.3099999999999998,88.9,0.44,18,1,39.4,ZONE-14
5.2,27.5,49.9,34.5,2.43,0.35,1.5299999999999998,90.9,0.46,18,1,51.7,ZONE-14
28.1,38.8,71.3,91.9,3.5799999999999996,0.54,1.9,90.5,0.55,13,0,0.0,ZONE-10
6.1,30.4,119.6,179.2,3.3000000000000003,0.48000000000000004,2.86,80.9,0.19,11,1,57.0,ZONE-13
1.9,67.2,97.7,17.9,2.87,0.36000000000000004,2.9,80.1,0.13,11,1,38.2,ZONE-13
7.4,105.2,135.7,23.9,3.82,0.6799999999999999,2.13,87.5,0.56,13,1,54.4,ZONE-10
12.0,18.9,22.5,8.3,2.0,0.17,1.05,74.8,0.22999999999999998,16,1,45.0,ZONE-15
1.6,5.7,12.4,61.4,2.37,0.36,1.45,85.7,0.1,17,1,36.5,ZONE-16
2.4,13.0,115.2,38.5,3.9899999999999998,0.75,2.5,92.8,0.8300000000000001,8,0,0.0,ZONE-05
13.2,17.9,27.5,2.5,3.4899999999999998,0.5499999999999999,1.81,91.3,0.51,13,0,0.0,ZONE-10
2.2,10.4,19.2,5.6,8.219999999999999,1.23,3.1900000000000004,79.60000000000001,2.53,5,0,0.0,ZONE-08
1.5,16.9,27.3,27.2,4.21,0.59,2.02,94.2,1.1199999999999999,14,0,0.0,ZONE-09
8.4,37.7,39.5,96.4,3.1100000000000003,0.37,2.98,83.2,0.21000000000000002,11,0,0.0,ZONE-13
11.9,14.0,107.1,152.2,3.5100000000000002,0.43000000000000005,2.9299999999999997,82.7,0.29000000000000004,11,1,33.9,ZONE-13
0.8,8.9,82.7,82.8,3.57,0.59,1.89,88.2,0.6,13,0,0.0,ZONE-10
2.4,8.3,29.1,39.8,3.84,0.7,1.94,88.4,0.44,13,0,0.0,ZONE-10
11.6,23.1,51.0,82.6,4.86,0.56,1.9400000000000002,92.5,1.23,14,0,0.0,ZONE-09
0.4,7.7,63.9,135.3,1.7400000000000002,0.27,1.5999999999999999,90.2,0.34,18,1,75.8,ZONE-14
8.6,27.6,32.7,35.6,8.17,1.26,3.0900000000000003,80.0,2.56,5,0,0.0,ZONE-08
9.1,16.0,30.1,28.4,1.9200000000000002,0.4,1.5999999999999999,88.7,0.46,18,1,42.7,ZONE-14
0.2,9.9,20.6,23.8,1.81,0.27,1.52,89.0,0.30000000000000004,18,1,46.5,ZONE-14
1.5,56.8,97.3,68.2,3.39,0.41000000000000003,2.9,81.9,0.26,11,0,0.0,ZONE-13
18.7,36.0,40.1,46.2,4.46,0.44,2.15,95.60000000000001,1.28,14,0,0.0,ZONE-09
10.6,44.8,70.2,8.2,1.77,0.29000000000000004,1.02,71.9,0.27999999999999997,16,1,68.1,ZONE-15
4.0,15.3,62.0,50.7,4.27,0.69,2.7600000000000002,92.4,0.73,8,0,0.0,ZONE-05
5.3,113.0,154.9,16.2,3.02,0.43000000000000005,2.82,81.0,0.30000000000000004,11,1,67.6,ZONE-13
1.3,5.4,18.1,10.5,4.1,0.69,2.72,91.2,0.8300000000000001,8,0,0.0,ZONE-05
2.5,10.9,19.5,136.2,8.04,1.28,3.1700000000000004,80.4,2.48,5,0,0.0,ZONE-08
1.0,19.6,43.4,242.3,4.35,0.46,2.0,96.9,1.24,14,0,0.0,ZONE-09
1.4,14.1,171.1,120.4,3.7499999999999996,0.77,2.44,91.1,0.8500000000000001,8,1,41.5,ZONE-05
20.4,27.9,36.3,66.3,2.17,0.31,1.3299999999999998,86.2,0.37,18,1,62.2,ZONE-14
31.8,52.1,90.2,19.7,2.29,0.33999999999999997,1.69,84.6,0.17,17,1,72.3,ZONE-16
17.6,22.8,40.4,33.2,7.819999999999999,1.2,3.3400000000000003,77.5,2.51,5,0,0.0,ZONE-08
8.5,15.4,20.9,56.6,4.71,0.51,2.22,96.3,1.29,14,0,0.0,ZONE-09
4.1,25.9,33.4,39.4,2.19,0.32999999999999996,1.48,85.7,0.35000000000000003,18,1,53.5,ZONE-14
9.1,10.4,28.9,8.7,3.6799999999999997,0.54,1.8599999999999999,89.9,0.41000000000000003,13,0,0.0,ZONE-10
0.8,115.8,133.3,99.6,1.77,0.31,1.3499999999999999,88.2,0.33,18,1,74.9,ZONE-14
3.5,32.1,96.4,54.3,4.02,0.61,1.83,86.3,0.43,13,0,0.0,ZONE-10
7.7,21.0,40.3,159.2,2.24,0.25,1.46,88.4,0.39,18,1,65.5,ZONE-14
21.3,105.1,111.1,78.8,4.38,0.42,2.17,94.8,1.21,14,1,34.0,ZONE-09
33.4,38.4,41.5,81.1,8.02,1.22,3.0,77.2,2.44,5,0,0.0,ZONE-08
10.3,56.4,63.2,95.2,3.41,0.36000000000000004,2.65,82.0,0.19,11,0,0.0,ZONE-13
2.7,7.2,15.3,101.1,3.1,0.44,2.8,84.0,0.26,11,0,0.0,ZONE-13
13.1,31.6,51.6,125.8,4.42,0.55,2.0700000000000003,94.0,1.1199999999999999,14,0,0.0,ZONE-09
6.0,48.4,74.4,28.4,3.86,0.61,2.08,88.5,0.42,13,0,0.0,ZONE-10
7.5,16.5,78.5,41.9,2.47,0.22999999999999998,1.5799999999999998,88.3,0.44,18,1,63.7,ZONE-14
3.2,60.7,82.5,47.1,2.2800000000000002,0.25,1.54,84.1,0.18000000000000002,17,1,69.9,ZONE-16
28.4,52.9,58.5,168.6,3.5799999999999996,0.6599999999999999,1.83,89.8,0.51,13,1,33.5,ZONE-10
11.9,22.1,28.8,94.8,3.6799999999999997,0.69,2.06,86.9,0.42,13,0,0.0,ZONE-10
11.6,30.7,131.6,93.2,1.56,0.22,1.3,72.9,0.24,16,1,78.8,ZONE-15
2.0,11.3,24.2,81.7,4.069999999999999,0.71,2.63,94.6,0.88,8,0,0.0,ZONE-05
0.4,21.5,86.2,125.6,4.09,0.63,1.8599999999999999,86.4,0.49,13,0,0.0,ZONE-10
5.0,48.0,53.3,112.4,2.04,0.22,1.14,69.4,0.29,16,1,61.6,ZONE-15
1.6,14.3,86.1,9.7,4.07,0.52,2.15,91.1,0.52,13,0,0.0,ZONE-10
3.1,35.1,92.4,61.5,1.97,0.31,1.62,86.4,0.19,17,1,76.4,ZONE-16
14.2,33.8,46.9,25.5,7.96,1.2,3.06,75.80000000000001,2.42,5,0,0.0,ZONE-08
2.4,62.2,101.6,30.7,4.1899999999999995,0.52,2.06,86.2,0.54,13,0,0.0,ZONE-10
7.4,81.0,88.5,52.9,4.119999999999999,0.72,2.5500000000000003,96.0,0.78,8,0,0.0,ZONE-05
8.5,32.1,32.9,123.4,3.94,0.51,2.05,88.0,0.47,13,0,0.0,ZONE-10
32.3,53.1,106.8,153.4,1.83,0.33999999999999997,1.56,86.4,0.27,17,1,74.6,ZONE-16
14.7,18.8,57.4,56.0,3.5300000000000002,0.36000000000000004,2.86,83.0,0.13,11,0,0.0,ZONE-13
6.6,39.9,162.5,155.9,4.35,0.48,2.22,96.10000000000001,1.23,14,1,61.3,ZONE-09
7.2,10.2,198.7,109.5,4.62,0.48,2.04,93.4,1.14,14,1,57.8,ZONE-09
1.6,65.0,156.8,43.9,3.8499999999999996,0.7999999999999999,2.46,92.3,0.8600000000000001,8,0,0.0,ZONE-05
10.7,23.4,25.9,24.5,2.23,0.38,1.45,89.1,0.33,18,1,42.9,ZONE-14
19.5,19.6,37.9,30.5,3.3800000000000003,0.31000000000000005,2.75,83.3,0.29000000000000004,11,0,0.0,ZONE-13
9.3,72.4,91.5,25.6,2.0,0.26,1.0899999999999999,70.4,0.39,16,1,73.8,ZONE-15
16.1,31.1,42.5,36.1,7.989999999999999,1.29,3.39,78.2,2.46,5,0,0.0,ZONE-08
1.8,6.7,37.7,32.6,2.0,0.27999999999999997,1.3599999999999999,82.2,0.22,17,1,55.0,ZONE-16
29.6,40.9,80.0,60.0,2.21,0.37,1.42,86.1,0.47000000000000003,18,1,74.5,ZONE-14
0.2,27.4,36.2,194.8,1.47,0.13,1.18,72.1,0.37,16,1,66.2,ZONE-15
1.9,15.3,19.3,346.1,8.35,1.28,3.37,77.9,2.48,5,0,0.0,ZONE-08
8.4,31.0,34.1,83.2,3.59,0.7,1.95,86.2,0.59,13,0,0.0,ZONE-10
2.8,59.9,70.2,12.7,4.03,0.53,1.91,91.0,0.54,13,0,0.0,ZONE-10
0.4,16.4,53.8,4.1,3.41,0.39,2.8499999999999996,84.4,0.1,11,0,0.0,ZONE-13
17.9,33.0,66.4,34.9,8.37,1.21,3.29,78.60000000000001,2.42,5,0,0.0,ZONE-08
6.1,26.6,34.2,12.0,1.59,0.12000000000000001,1.0999999999999999,72.8,0.32,16,1,48.8,ZONE-15
23.7,96.7,117.7,18.9,4.18,0.6,2.61,92.0,0.73,8,0,0.0,ZONE-05
12.4,25.5,26.7,10.2,1.6,0.27,1.53,82.1,0.23,17,1,53.2,ZONE-16
15.1,42.0,43.2,15.1,3.4499999999999997,0.61,2.0,91.9,0.51,13,0,0.0,ZONE-10
3.2,31.1,32.0,6.6,2.3,0.21,1.45,83.2,0.25,17,1,43.1,ZONE-16
19.3,24.2,71.8,16.3,4.38,0.55,2.15,95.8,1.25,14,0,0.0,ZONE-09
1.3,8.3,65.9,116.2,3.51,0.57,1.94,89.9,0.5700000000000001,13,0,0.0,ZONE-10
21.3,34.0,83.6,13.8,4.4799999999999995,0.7,2.47,91.3,0.8400000000000001,8,0,0.0,ZONE-05
4.2,60.9,61.5,5.4,3.7299999999999995,0.6399999999999999,2.72,95.8,0.76,8,0,0.0,ZONE-05
2.8,3.5,12.5,52.5,1.81,0.30000000000000004,1.22,70.5,0.35,16,0,0.0,ZONE-15
6.6,62.4,138.9,25.1,7.93,1.27,3.02,79.30000000000001,2.45,5,0,0.0,ZONE-08
3.6,15.5,55.7,18.7,3.75,0.58,1.98,91.7,0.47,13,0,0.0,ZONE-10
11.7,24.9,61.0,34.4,3.2,0.4,2.9699999999999998,82.1,0.26,11,0,0.0,ZONE-13
4.2,78.3,143.2,9.1,1.66,0.32,1.63,84.3,0.16,17,1,72.2,ZONE-16
24.3,41.0,142.2,96.5,1.6500000000000001,0.22,1.17,73.1,0.27,16,1,71.9,ZONE-15
6.6,7.2,21.3,46.8,3.8899999999999997,0.59,2.06,90.7,0.41000000000000003,13,0,0.0,ZONE-10
12.0,19.5,26.3,108.1,1.89,0.36,1.57,86.7,0.13,17,1,63.3,ZONE-16
49.9,68.5,77.0,19.1,3.7299999999999995,0.61,2.71,92.7,0.78,8,0,0.0,ZONE-05
0.2,61.6,67.2,51.6,2.18,0.33999999999999997,1.5799999999999998,87.7,0.45,18,1,69.2,ZONE-14
3.8,24.0,71.4,106.2,3.7199999999999998,0.63,1.9,86.7,0.55,13,0,0.0,ZONE-10
2.8,3.1,9.7,138.2,4.109999999999999,0.7799999999999999,2.45,95.1,0.8400000000000001,8,0,0.0,ZONE-05
24.8,47.5,88.8,65.6,8.5,1.16,3.37,78.30000000000001,2.42,5,0,0.0,ZONE-08
2.3,63.8,88.2,29.0,4.46,0.58,2.08,91.7,1.24,14,0,0.0,ZONE-09
8.8,10.0,18.2,80.4,3.9299999999999997,0.64,2.02,87.7,0.46,13,0,0.0,ZONE-10
1.0,24.1,36.8,29.6,3.37,0.49,2.86,83.8,0.2,11,0,0.0,ZONE-13
4.1,15.1,72.2,21.2,4.89,0.56,1.99,94.2,1.17,14,0,0.0,ZONE-09
10.0,26.2,75.2,165.7,3.77,0.7,1.85,91.3,0.41000000000000003,13,1,33.9,ZONE-10
15.8,21.8,23.2,18.3,4.119999999999999,0.75,2.73,90.9,0.89,8,0,0.0,ZONE-05
