location,zone_id,ward,rainfall_1h,rainfall_6h,rainfall_24h,previous_rainfall,elevation,slope,drainage_density,built_up_percentage,distance_to_waterbody,historical_flood_frequency,flooded,water_depth_cm,data_source
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,59.9,219.5,476.7,246.4,52.14,0.33,1.37,96.7,0.08,19,1,79.4,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,63.9,241.6,424.0,250.0,51.85,0.31,1.37,94.4,0.08,19,1,84.5,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,65.5,250.6,461.5,263.7,52.19,0.33,1.42,95.6,0.1,19,1,81.2,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,57.2,238.7,460.2,239.7,52.12,0.28,1.32,93.7,0.09,19,1,80.1,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,58.8,216.0,461.7,264.6,52.0,0.32,1.48,93.4,0.09,19,1,84.3,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,60.5,226.0,528.1,267.5,52.48,0.29,1.39,91.8,0.07,19,1,81.4,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,56.9,211.8,494.0,257.7,52.16,0.35,1.34,93.5,0.13,19,1,82.4,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,53.3,258.2,499.2,252.2,52.45,0.29,1.4,96.3,0.04,19,1,83.3,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,49.9,232.3,496.5,273.2,51.66,0.34,1.51,93.4,0.08,19,1,83.4,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,54.4,234.4,502.5,252.7,51.63,0.28,1.52,94.4,0.12,19,1,85.9,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,56.0,217.3,494.7,239.5,51.79,0.21,1.46,95.3,0.13,19,1,79.1,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,46.6,187.0,484.0,257.9,52.15,0.32,1.26,94.6,0.1,19,1,78.7,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,49.4,198.1,471.3,260.5,52.0,0.25,1.42,94.3,0.11,19,1,80.3,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,56.9,250.0,514.7,265.8,52.07,0.32,1.47,94.8,0.12,19,1,80.4,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,59.2,245.4,498.9,250.1,51.78,0.32,1.51,92.5,0.09,19,1,78.8,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,64.1,221.9,471.5,275.3,51.95,0.35,1.51,95.8,0.09,19,1,84.8,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,62.6,227.1,548.1,259.5,51.96,0.29,1.43,94.1,0.06,19,1,80.5,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,64.7,209.3,472.5,257.7,51.75,0.34,1.16,92.8,0.15,19,1,83.7,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,65.4,216.3,460.7,242.2,51.99,0.29,1.18,93.1,0.09,19,1,80.7,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,51.5,190.6,499.6,254.2,52.02,0.29,1.43,93.9,0.13,19,1,79.9,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,60.9,229.6,403.3,260.5,52.21,0.27,1.4,94.1,0.1,19,1,79.3,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,64.7,268.9,531.5,260.1,51.78,0.33,1.37,95.3,0.11,19,1,85.4,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,55.9,222.4,446.2,252.5,52.2,0.28,1.44,95.2,0.13,19,1,78.3,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,66.7,217.1,469.0,272.6,51.92,0.23,1.34,96.0,0.1,19,1,82.2,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,68.6,234.0,516.0,252.5,51.91,0.39,1.44,95.3,0.1,19,1,79.8,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,69.0,291.8,584.9,306.4,52.28,0.3,1.29,94.4,0.1,19,1,84.0,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,73.3,257.9,475.8,302.1,51.7,0.23,1.37,93.3,0.07,19,1,84.2,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,59.9,271.2,477.6,310.5,52.13,0.27,1.64,94.7,0.08,19,1,81.5,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,68.9,278.4,532.6,314.2,52.31,0.27,1.53,92.5,0.11,19,1,83.6,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,71.7,271.6,552.8,309.6,51.94,0.32,1.27,94.8,0.11,19,1,84.4,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,61.1,241.5,566.5,309.1,51.97,0.27,1.43,94.9,0.1,19,1,85.4,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,69.7,271.9,619.9,327.0,52.0,0.25,1.58,93.6,0.1,19,1,81.3,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,51.1,250.9,627.7,314.7,52.11,0.34,1.38,95.2,0.1,19,1,79.7,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,69.5,260.1,543.0,300.2,52.25,0.36,1.33,94.3,0.11,19,1,84.4,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,77.7,268.5,587.1,313.7,52.03,0.28,1.46,94.1,0.08,19,1,82.5,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,66.2,270.2,496.1,303.5,52.25,0.29,1.17,92.5,0.08,19,1,81.9,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,60.8,213.9,504.8,321.5,52.03,0.36,1.47,93.5,0.13,19,1,81.5,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,70.7,239.7,462.3,299.4,52.06,0.28,1.51,93.7,0.12,19,1,85.3,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,73.2,262.2,510.2,297.4,52.03,0.28,1.54,94.6,0.11,19,1,79.5,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,63.0,251.5,617.3,326.4,51.79,0.35,1.4,94.1,0.12,19,1,84.8,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,63.1,252.6,537.7,307.9,52.28,0.23,1.51,93.6,0.08,19,1,84.4,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,60.9,305.4,526.7,324.4,51.88,0.37,1.27,91.6,0.09,19,1,85.1,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,76.4,264.4,478.2,307.0,51.73,0.25,1.5,94.3,0.08,19,1,79.5,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,68.1,270.2,487.9,313.4,52.48,0.37,1.28,94.1,0.15,19,1,85.2,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,64.4,208.7,497.2,306.6,51.71,0.23,1.33,92.4,0.1,19,1,78.6,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,54.6,228.8,625.1,313.4,51.85,0.29,1.38,93.4,0.09,19,1,84.1,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,50.1,251.8,520.0,318.3,52.3,0.4,1.34,94.8,0.11,19,1,81.5,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,53.2,242.4,536.5,287.1,52.19,0.32,1.52,93.8,0.13,19,1,82.1,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,71.1,250.0,558.9,316.1,51.87,0.26,1.55,94.5,0.12,19,1,82.0,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,74.7,309.4,593.7,307.7,51.84,0.31,1.42,93.8,0.11,19,1,81.5,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,66.5,258.4,519.8,317.3,52.02,0.32,1.7,95.2,0.1,19,1,83.3,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,65.8,261.8,501.8,312.1,51.82,0.27,1.2,92.8,0.12,19,1,80.4,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,68.9,276.3,593.0,288.9,52.29,0.29,1.51,95.9,0.09,19,1,84.8,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,68.6,257.2,481.7,317.9,52.2,0.32,1.54,95.5,0.11,19,1,83.4,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,76.6,275.4,484.7,326.4,52.06,0.37,1.12,95.6,0.11,19,1,83.5,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,65.5,291.9,584.7,300.7,52.18,0.35,1.32,94.1,0.11,19,1,81.0,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,63.1,247.5,545.4,318.2,51.77,0.3,1.55,93.4,0.15,19,1,84.8,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,71.3,204.8,577.5,320.8,52.08,0.37,1.28,91.8,0.1,19,1,85.0,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,64.3,243.8,563.9,309.7,51.98,0.34,1.34,93.7,0.09,19,1,83.7,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,64.6,260.6,537.6,298.4,52.25,0.29,1.6,91.2,0.1,19,1,82.8,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,82.5,356.6,726.5,442.8,52.17,0.36,1.36,94.2,0.07,19,1,82.8,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,83.8,335.9,743.2,447.6,51.97,0.33,1.35,93.8,0.1,19,1,81.4,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,92.5,369.8,726.6,454.2,52.12,0.41,1.5,94.0,0.07,19,1,78.3,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,78.0,373.0,679.8,455.0,51.97,0.33,1.51,95.6,0.09,19,1,78.2,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,108.4,324.0,674.9,458.8,52.18,0.32,1.49,92.8,0.09,19,1,84.6,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,89.9,324.6,756.8,465.5,51.98,0.35,1.38,94.9,0.09,19,1,80.7,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,98.2,312.4,765.6,431.2,51.78,0.3,1.46,94.0,0.11,19,1,85.5,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,90.2,338.7,703.7,446.0,52.18,0.25,1.28,95.6,0.09,19,1,82.8,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,79.7,301.4,847.9,449.3,52.04,0.33,1.41,94.0,0.11,19,1,79.3,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,83.8,318.7,707.9,435.9,52.09,0.31,1.43,93.5,0.1,19,1,78.8,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,79.6,412.6,774.4,463.4,52.1,0.23,1.39,92.7,0.09,19,1,78.7,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,98.4,409.4,688.1,456.9,52.14,0.25,1.51,94.7,0.07,19,1,80.9,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,105.2,327.3,708.3,447.3,51.95,0.29,1.43,94.5,0.12,19,1,79.6,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,82.7,376.9,769.7,435.2,51.77,0.25,1.23,93.9,0.08,19,1,85.4,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,97.9,370.1,739.6,464.6,51.93,0.2,1.46,94.0,0.14,19,1,78.6,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,97.4,353.8,872.8,448.6,52.38,0.35,1.47,95.2,0.08,19,1,78.3,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,100.1,340.9,710.7,450.6,51.89,0.29,1.41,94.2,0.1,19,1,78.3,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,66.3,344.0,836.1,451.1,52.0,0.32,1.4,93.2,0.1,19,1,79.2,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,99.1,338.3,797.5,448.2,51.85,0.34,1.4,94.4,0.14,19,1,82.8,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,88.7,297.0,626.7,442.3,51.77,0.25,1.62,93.2,0.12,19,1,83.6,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,97.3,373.0,774.2,450.2,52.04,0.36,1.42,93.0,0.1,19,1,79.4,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,77.2,375.6,730.8,464.0,52.2,0.32,1.43,95.3,0.1,19,1,83.4,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,77.8,320.0,620.8,455.7,52.21,0.36,1.27,95.9,0.09,19,1,82.7,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,70.8,332.6,787.6,434.7,51.86,0.24,1.33,90.9,0.09,19,1,82.5,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,87.3,337.3,584.2,436.7,51.81,0.24,1.49,92.7,0.09,19,1,82.4,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,96.3,296.8,719.5,437.0,52.39,0.23,1.47,93.1,0.12,19,1,81.2,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,93.6,307.8,606.5,440.3,52.07,0.27,1.56,94.0,0.09,19,1,85.3,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,87.5,332.8,646.5,456.8,51.73,0.28,1.59,91.6,0.09,19,1,82.4,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,87.6,351.8,725.3,443.3,52.35,0.29,1.21,94.0,0.11,19,1,83.2,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,81.7,302.3,785.5,442.7,52.02,0.32,1.5,94.7,0.13,19,1,84.3,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,83.5,366.7,783.9,452.7,52.02,0.26,1.28,94.9,0.11,19,1,79.8,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,78.8,314.5,713.7,469.6,51.85,0.34,1.44,93.0,0.04,19,1,81.6,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,81.7,333.0,831.7,443.8,52.02,0.33,1.36,91.1,0.11,19,1,82.7,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,64.2,347.3,719.3,443.6,51.86,0.33,1.34,92.5,0.11,19,1,78.5,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,55.5,329.9,597.6,457.2,51.97,0.36,1.18,93.4,0.15,19,1,80.1,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,43.7,177.3,351.8,206.4,52.05,0.29,1.29,93.0,0.11,19,1,81.6,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,47.3,228.1,343.5,199.0,51.92,0.25,1.42,94.7,0.09,19,1,83.1,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,44.6,179.4,376.0,194.6,52.04,0.37,1.4,94.0,0.11,19,1,82.1,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,44.7,155.7,270.1,173.5,52.14,0.28,1.3,93.8,0.09,19,1,78.8,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,39.5,160.0,320.5,184.8,52.06,0.3,1.22,95.3,0.1,19,1,80.9,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,36.2,161.6,425.2,204.6,51.98,0.34,1.27,94.2,0.1,19,1,84.4,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,41.0,197.8,356.8,176.5,52.02,0.34,1.31,94.3,0.08,19,1,81.9,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,41.7,166.4,355.6,191.6,52.18,0.33,1.13,94.9,0.12,19,1,78.6,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,40.6,147.9,368.0,190.1,51.93,0.28,1.34,94.0,0.07,19,1,79.3,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,42.3,160.4,409.2,195.5,52.02,0.23,1.4,93.6,0.1,19,1,85.3,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,41.1,204.3,403.4,191.4,51.95,0.29,1.46,94.7,0.08,19,1,83.3,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,49.5,195.5,399.7,189.6,52.08,0.34,1.33,93.7,0.09,19,1,85.7,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,45.3,187.9,391.8,189.1,52.24,0.26,1.26,94.9,0.11,19,1,79.6,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,46.2,183.0,348.9,167.7,51.58,0.29,1.3,94.6,0.12,19,1,78.8,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,47.1,189.4,379.5,205.1,51.89,0.26,1.42,93.5,0.1,19,1,82.6,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,38.9,174.9,356.8,189.2,51.58,0.37,1.45,93.9,0.1,19,1,81.8,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,44.5,193.9,439.0,194.6,52.34,0.23,1.49,93.9,0.1,19,1,78.4,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,42.8,181.9,390.2,197.2,52.0,0.32,1.32,93.2,0.08,19,1,81.4,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,40.0,162.2,403.2,171.1,51.98,0.26,1.48,94.3,0.09,19,1,78.3,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,55.3,185.0,398.0,167.1,51.88,0.35,1.38,93.1,0.11,19,1,82.1,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,39.6,177.1,398.9,193.2,51.77,0.25,1.39,94.0,0.13,19,1,79.5,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,41.7,157.1,320.0,185.2,52.03,0.36,1.39,94.6,0.13,19,1,80.5,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,31.9,152.8,330.1,198.1,52.39,0.25,1.33,93.5,0.09,19,1,80.4,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,43.2,186.2,420.3,171.5,52.06,0.35,1.35,94.2,0.09,19,1,82.4,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,39.3,193.2,370.2,195.5,51.58,0.26,1.32,92.5,0.09,19,1,84.1,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,38.0,164.7,359.6,186.8,52.12,0.29,1.28,95.5,0.13,19,1,82.0,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,38.2,191.8,299.2,204.5,51.85,0.32,1.33,93.3,0.1,19,1,80.9,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,40.1,189.9,432.6,208.2,51.92,0.3,1.44,94.1,0.13,19,1,81.4,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,47.7,164.6,403.1,193.2,52.12,0.24,1.43,93.0,0.13,19,1,78.7,Northeast India (Brahmaputra River Basin & Assam Telemetry)
