state,district,soil_type,nitrogen,phosphorus,potassium,ph_level,rainfall_mm,temperature_c,crop,season,yield_q_acre,cost_per_acre,mandi_price_per_q,peak_selling_month,peak_selling_window,weather_risk
Uttarakhand,Haridwar,Clay,70,42,39,7.1,959.7,23.2,Mustard,Rabi,5.2,4103.0,5604.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Alluvial,74,53,47,7.0,992.2,25.3,Mustard,Rabi,7.3,4399.0,5815.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Alluvial,72,36,50,6.4,976.5,21.0,Mustard,Rabi,7.3,4140.0,5588.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Alluvial,84,36,57,7.0,1095.6,23.1,Mustard,Rabi,8.1,4367.0,5945.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Clay,75,64,27,7.2,928.8,27.4,Mustard,Rabi,5.7,4259.0,5348.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Sandy Loam,68,35,38,6.7,800.7,26.3,Mustard,Rabi,6.5,4296.0,5634.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Alluvial,93,49,25,6.9,957.9,24.5,Mustard,Rabi,6.1,4032.0,5548.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Clay,84,47,34,6.3,928.5,25.5,Mustard,Rabi,5.5,4268.0,5449.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Loamy,76,46,56,6.6,897.7,26.3,Mustard,Rabi,7.8,4352.0,5800.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Sandy Loam,97,53,44,6.9,1021.0,23.0,Mustard,Rabi,6.1,4437.0,5912.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Loamy,76,58,44,7.3,898.4,24.8,Mustard,Rabi,8.3,4145.0,5488.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Clay,95,37,35,6.8,921.1,24.3,Mustard,Rabi,4.1,4366.0,5683.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Clay,42,47,30,6.9,949.0,25.4,Mustard,Rabi,5.1,3997.0,5686.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Clay,96,52,48,6.7,1120.1,24.5,Mustard,Rabi,4.3,4342.0,6011.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Alluvial,58,43,34,6.7,1071.5,26.6,Mustard,Rabi,6.6,4448.0,5370.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Alluvial,81,42,30,6.6,943.8,23.7,Mustard,Rabi,8.2,4430.0,5861.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Alluvial,73,48,10,6.9,1082.9,24.2,Mustard,Rabi,7.6,4257.0,5586.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Loamy,69,44,42,6.8,913.1,25.5,Mustard,Rabi,6.3,4348.0,5961.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Loamy,70,32,26,6.8,956.9,24.1,Mustard,Rabi,6.9,4282.0,5454.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Alluvial,65,40,66,7.0,1119.6,21.2,Mustard,Rabi,6.4,4036.0,5594.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Clay,84,41,58,6.8,899.6,21.1,Mustard,Rabi,5.0,4463.0,5299.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Alluvial,57,30,52,7.2,865.6,25.0,Mustard,Rabi,8.0,4436.0,6029.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Clay,88,35,48,6.7,1180.6,26.5,Mustard,Rabi,3.5,4361.0,5401.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Clay,71,29,41,6.5,974.2,26.7,Mustard,Rabi,5.6,4187.0,5557.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Alluvial,65,38,32,6.8,992.1,22.4,Mustard,Rabi,7.0,4394.0,5666.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Alluvial,84,35,58,6.6,777.4,22.4,Mustard,Rabi,8.5,4438.0,5558.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Alluvial,92,46,38,7.0,939.7,23.9,Mustard,Rabi,6.0,4499.0,5357.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Loamy,54,53,46,6.9,912.7,25.7,Mustard,Rabi,6.6,4521.0,5879.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Alluvial,85,36,39,6.8,961.0,29.3,Mustard,Rabi,6.9,4447.0,5802.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Clay,77,36,43,6.8,1004.1,25.7,Mustard,Rabi,4.7,4245.0,5835.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Clay,88,37,45,6.6,874.9,19.7,Mustard,Rabi,6.4,4517.0,5713.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Alluvial,88,26,27,7.1,981.0,22.9,Mustard,Rabi,7.2,4096.0,6017.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Alluvial,72,34,38,7.3,775.6,20.1,Mustard,Rabi,9.1,4142.0,5318.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Alluvial,102,18,38,6.7,838.5,21.2,Mustard,Rabi,7.4,4213.0,5452.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Alluvial,70,45,33,6.9,921.7,26.6,Mustard,Rabi,7.4,4330.0,5743.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Loamy,106,47,21,6.2,698.0,24.6,Mustard,Rabi,8.5,4209.0,5892.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Sandy Loam,94,52,29,6.6,800.4,22.2,Mustard,Rabi,8.6,4046.0,5485.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Clay,88,41,63,7.4,1069.4,24.0,Mustard,Rabi,4.5,4432.0,5952.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Alluvial,71,38,59,6.6,698.2,24.8,Mustard,Rabi,9.6,4318.0,5816.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Loamy,69,36,47,6.8,1019.1,30.4,Mustard,Rabi,7.6,4407.0,5983.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Sandy Loam,71,30,40,6.9,1100.5,26.8,Mustard,Rabi,6.3,4358.0,5962.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Loamy,66,22,61,7.0,1097.2,26.6,Mustard,Rabi,7.0,4126.0,5938.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Loamy,86,28,26,6.5,886.7,23.7,Mustard,Rabi,7.5,4224.0,5975.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Clay,85,57,45,6.5,1146.8,25.1,Mustard,Rabi,6.2,4272.0,5632.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Loamy,83,51,50,6.8,1131.8,25.6,Mustard,Rabi,6.5,4097.0,6033.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Alluvial,104,31,29,7.2,1264.7,24.0,Mustard,Rabi,6.1,4393.0,5324.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Alluvial,83,55,51,7.2,1086.7,26.1,Mustard,Rabi,6.3,4157.0,5814.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Alluvial,78,38,62,7.0,913.4,24.3,Mustard,Rabi,6.8,4248.0,6029.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Alluvial,98,35,37,7.3,932.7,26.2,Mustard,Rabi,8.3,4482.0,5988.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Loamy,83,28,52,6.7,1186.2,19.0,Mustard,Rabi,6.8,4322.0,5966.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Alluvial,93,34,29,7.2,843.2,25.7,Mustard,Rabi,7.7,3996.0,5410.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Alluvial,108,39,38,6.9,992.9,24.1,Mustard,Rabi,6.1,4393.0,5845.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Alluvial,82,39,46,6.3,1002.8,24.1,Mustard,Rabi,7.4,4484.0,5578.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Sandy Loam,95,44,38,7.1,1082.1,27.7,Mustard,Rabi,6.5,4014.0,5882.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Loamy,60,27,47,6.5,852.9,21.7,Mustard,Rabi,8.2,4489.0,6041.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Clay,85,39,25,6.7,1130.9,23.5,Mustard,Rabi,5.7,4452.0,5537.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Clay,136,50,34,5.9,1100.7,24.5,Wheat,Rabi,13.0,5122.0,2189.0,April,April 10–28,Low
Uttarakhand,Haridwar,Alluvial,117,59,37,6.4,1057.0,22.2,Wheat,Rabi,14.5,5041.0,2378.0,April,April 10–28,Low
Uttarakhand,Haridwar,Sandy Loam,114,59,31,7.0,931.6,25.3,Wheat,Rabi,11.7,4781.0,2163.0,April,April 10–28,Low
Uttarakhand,Haridwar,Sandy Loam,122,62,29,6.3,1188.1,23.2,Wheat,Rabi,14.6,5231.0,2341.0,April,April 10–28,Low
Uttarakhand,Haridwar,Alluvial,113,44,56,6.2,916.3,25.2,Wheat,Rabi,15.9,5351.0,2325.0,April,April 10–28,Low
Uttarakhand,Haridwar,Clay,128,66,47,6.1,1078.3,25.8,Wheat,Rabi,9.6,4992.0,2292.0,April,April 10–28,Low
Uttarakhand,Haridwar,Sandy Loam,97,55,40,6.2,914.5,24.7,Wheat,Rabi,13.9,4750.0,2409.0,April,April 10–28,Low
Uttarakhand,Haridwar,Clay,128,54,52,6.1,786.0,22.5,Wheat,Rabi,15.2,5050.0,2436.0,April,April 10–28,Low
Uttarakhand,Haridwar,Alluvial,125,72,37,6.5,1044.7,24.6,Wheat,Rabi,16.7,4781.0,2445.0,April,April 10–28,Low
Uttarakhand,Haridwar,Loamy,87,60,35,6.3,971.4,25.3,Wheat,Rabi,21.0,5204.0,2293.0,April,April 10–28,Low
Uttarakhand,Haridwar,Alluvial,121,50,23,6.3,1102.6,23.2,Wheat,Rabi,11.8,5078.0,2260.0,April,April 10–28,Low
Uttarakhand,Haridwar,Alluvial,148,58,17,6.6,1383.2,24.5,Wheat,Rabi,15.4,5380.0,2171.0,April,April 10–28,Low
Uttarakhand,Haridwar,Alluvial,137,48,21,6.5,956.8,22.4,Wheat,Rabi,17.7,5231.0,2223.0,April,April 10–28,Low
Uttarakhand,Haridwar,Sandy Loam,110,71,56,6.1,794.5,23.0,Wheat,Rabi,13.8,5272.0,2150.0,April,April 10–28,Low
Uttarakhand,Haridwar,Loamy,154,46,27,6.3,866.7,24.4,Wheat,Rabi,19.6,5057.0,2366.0,April,April 10–28,Low
Uttarakhand,Haridwar,Loamy,95,62,24,6.6,1057.0,26.6,Wheat,Rabi,17.5,5320.0,2313.0,April,April 10–28,Low
Uttarakhand,Haridwar,Alluvial,104,52,43,6.8,990.0,25.7,Wheat,Rabi,14.5,5305.0,2165.0,April,April 10–28,Low
Uttarakhand,Haridwar,Clay,102,53,41,6.6,1069.4,26.0,Wheat,Rabi,11.6,5311.0,2233.0,April,April 10–28,Low
Uttarakhand,Haridwar,Sandy Loam,115,64,44,7.0,935.6,27.8,Wheat,Rabi,14.8,5283.0,2386.0,April,April 10–28,Low
Uttarakhand,Haridwar,Alluvial,102,41,26,6.2,784.7,26.3,Wheat,Rabi,19.3,5252.0,2261.0,April,April 10–28,Low
Uttarakhand,Haridwar,Sandy Loam,122,72,64,6.8,682.4,22.6,Wheat,Rabi,17.2,4995.0,2325.0,April,April 10–28,Low
Uttarakhand,Haridwar,Loamy,114,51,48,6.0,868.6,23.0,Wheat,Rabi,21.9,4958.0,2180.0,April,April 10–28,Low
Uttarakhand,Haridwar,Clay,128,71,33,6.3,877.2,24.3,Wheat,Rabi,15.1,5191.0,2412.0,April,April 10–28,Low
Uttarakhand,Haridwar,Alluvial,105,60,40,6.7,830.5,21.8,Wheat,Rabi,16.2,5003.0,2320.0,April,April 10–28,Low
Uttarakhand,Haridwar,Alluvial,136,66,27,6.3,1078.5,22.0,Wheat,Rabi,15.9,4945.0,2254.0,April,April 10–28,Low
Uttarakhand,Haridwar,Clay,116,50,32,6.6,1059.5,22.3,Wheat,Rabi,13.4,5113.0,2160.0,April,April 10–28,Low
Uttarakhand,Haridwar,Loamy,136,55,34,6.2,889.6,28.9,Wheat,Rabi,19.7,5008.0,2326.0,April,April 10–28,Low
Uttarakhand,Haridwar,Clay,91,58,32,6.9,1127.3,24.1,Wheat,Rabi,13.2,5063.0,2284.0,April,April 10–28,Low
Uttarakhand,Haridwar,Alluvial,109,44,39,6.5,950.3,23.4,Wheat,Rabi,19.2,5024.0,2177.0,April,April 10–28,Low
Uttarakhand,Haridwar,Sandy Loam,110,62,39,6.3,863.4,26.0,Wheat,Rabi,13.7,5141.0,2219.0,April,April 10–28,Low
Uttarakhand,Haridwar,Alluvial,135,47,40,6.2,1132.0,26.9,Wheat,Rabi,16.0,5385.0,2278.0,April,April 10–28,Low
Uttarakhand,Haridwar,Sandy Loam,149,83,44,6.2,838.0,25.2,Wheat,Rabi,17.7,5236.0,2206.0,April,April 10–28,Low
Uttarakhand,Haridwar,Clay,121,68,39,6.1,883.6,22.6,Wheat,Rabi,14.2,5189.0,2287.0,April,April 10–28,Low
Uttarakhand,Haridwar,Sandy Loam,118,65,38,6.6,976.7,28.0,Wheat,Rabi,13.2,4751.0,2146.0,April,April 10–28,Low
Uttarakhand,Haridwar,Sandy Loam,130,51,45,6.3,822.1,26.2,Wheat,Rabi,14.3,5266.0,2352.0,April,April 10–28,Low
Uttarakhand,Haridwar,Clay,134,49,37,6.3,878.4,23.9,Wheat,Rabi,13.6,5018.0,2243.0,April,April 10–28,Low
Uttarakhand,Haridwar,Alluvial,120,36,44,6.8,824.6,24.8,Wheat,Rabi,22.2,4916.0,2331.0,April,April 10–28,Low
Uttarakhand,Haridwar,Clay,108,66,28,6.8,984.4,28.7,Wheat,Rabi,10.1,4860.0,2145.0,April,April 10–28,Low
Uttarakhand,Haridwar,Clay,129,56,53,6.7,728.2,23.7,Wheat,Rabi,18.3,5179.0,2296.0,April,April 10–28,Low
Uttarakhand,Haridwar,Clay,110,59,37,6.3,969.1,26.3,Wheat,Rabi,14.4,5216.0,2139.0,April,April 10–28,Low
Uttarakhand,Haridwar,Clay,128,72,32,6.2,870.5,23.8,Wheat,Rabi,16.0,5026.0,2216.0,April,April 10–28,Low
Uttarakhand,Haridwar,Sandy Loam,109,60,36,6.4,882.8,24.4,Wheat,Rabi,12.1,4864.0,2457.0,April,April 10–28,Low
Uttarakhand,Haridwar,Clay,146,68,29,7.6,1006.2,20.7,Wheat,Rabi,13.6,4871.0,2383.0,April,April 10–28,Low
Uttarakhand,Haridwar,Sandy Loam,156,61,23,6.5,898.9,24.6,Wheat,Rabi,13.8,5353.0,2313.0,April,April 10–28,Low
Uttarakhand,Haridwar,Loamy,122,61,29,6.9,1005.1,23.0,Wheat,Rabi,17.3,4767.0,2161.0,April,April 10–28,Low
Uttarakhand,Haridwar,Loamy,113,60,39,6.0,1070.3,26.6,Wheat,Rabi,16.5,5384.0,2437.0,April,April 10–28,Low
Uttarakhand,Haridwar,Alluvial,116,68,25,6.4,976.2,27.2,Wheat,Rabi,16.4,5145.0,2296.0,April,April 10–28,Low
Uttarakhand,Haridwar,Alluvial,95,50,45,6.8,1097.1,25.1,Wheat,Rabi,14.2,4758.0,2379.0,April,April 10–28,Low
Uttarakhand,Haridwar,Loamy,121,59,50,6.3,796.3,26.2,Wheat,Rabi,19.7,4959.0,2393.0,April,April 10–28,Low
Uttarakhand,Haridwar,Clay,122,64,50,6.5,839.2,24.6,Wheat,Rabi,14.0,5038.0,2379.0,April,April 10–28,Low
Uttarakhand,Haridwar,Clay,129,49,39,6.9,715.9,22.3,Wheat,Rabi,17.1,5231.0,2210.0,April,April 10–28,Low
Uttarakhand,Haridwar,Clay,92,61,47,6.5,945.6,26.5,Wheat,Rabi,11.7,4772.0,2157.0,April,April 10–28,Low
Uttarakhand,Haridwar,Clay,131,65,45,6.4,965.2,24.4,Wheat,Rabi,10.8,4899.0,2443.0,April,April 10–28,Low
Uttarakhand,Haridwar,Clay,117,41,39,6.2,1042.8,25.1,Wheat,Rabi,11.3,4779.0,2405.0,April,April 10–28,Low
Uttarakhand,Haridwar,Loamy,110,59,39,5.8,970.0,23.3,Wheat,Rabi,17.1,5152.0,2305.0,April,April 10–28,Low
Uttarakhand,Haridwar,Sandy Loam,119,66,34,6.9,962.6,23.0,Wheat,Rabi,17.0,4856.0,2403.0,April,April 10–28,Low
Uttarakhand,Haridwar,Clay,111,76,49,6.6,920.7,22.4,Wheat,Rabi,14.7,5367.0,2201.0,April,April 10–28,Low
Uttarakhand,Haridwar,Alluvial,133,49,26,6.7,1184.6,21.9,Wheat,Rabi,14.3,4852.0,2222.0,April,April 10–28,Low
Uttarakhand,Haridwar,Sandy Loam,105,75,32,6.5,984.2,24.2,Wheat,Rabi,13.1,4827.0,2449.0,April,April 10–28,Low
Uttarakhand,Haridwar,Loamy,124,70,21,6.6,1095.9,23.5,Wheat,Rabi,15.9,4867.0,2211.0,April,April 10–28,Low
Uttarakhand,Haridwar,Clay,125,54,33,6.0,1023.9,24.2,Wheat,Rabi,15.1,5341.0,2285.0,April,April 10–28,Low
Uttarakhand,Haridwar,Clay,129,57,48,6.4,874.7,23.8,Wheat,Rabi,15.9,5356.0,2346.0,April,April 10–28,Low
Uttarakhand,Haridwar,Sandy Loam,115,54,38,6.2,1116.7,27.8,Wheat,Rabi,7.3,5000.0,2438.0,April,April 10–28,Low
Uttarakhand,Haridwar,Clay,111,66,54,6.4,872.7,23.6,Wheat,Rabi,16.3,5145.0,2324.0,April,April 10–28,Low
Uttarakhand,Haridwar,Alluvial,130,65,21,6.4,814.2,24.2,Wheat,Rabi,22.4,4778.0,2430.0,April,April 10–28,Low
Uttarakhand,Haridwar,Sandy Loam,107,56,46,6.6,1021.2,21.3,Wheat,Rabi,13.0,5213.0,2246.0,April,April 10–28,Low
Uttarakhand,Haridwar,Sandy Loam,145,56,35,7.0,1111.0,23.6,Wheat,Rabi,12.7,4828.0,2229.0,April,April 10–28,Low
Uttarakhand,Haridwar,Sandy Loam,141,65,48,6.4,912.4,24.7,Wheat,Rabi,13.3,5277.0,2411.0,April,April 10–28,Low
Uttarakhand,Haridwar,Alluvial,127,50,28,6.6,863.6,28.6,Wheat,Rabi,20.5,5013.0,2253.0,April,April 10–28,Low
Uttarakhand,Haridwar,Loamy,95,57,36,6.7,1251.3,20.5,Wheat,Rabi,14.3,5037.0,2304.0,April,April 10–28,Low
Uttarakhand,Haridwar,Clay,124,61,30,6.5,989.7,22.7,Wheat,Rabi,16.1,5144.0,2439.0,April,April 10–28,Low
Uttarakhand,Haridwar,Loamy,132,75,43,6.4,1004.4,23.3,Wheat,Rabi,17.6,5174.0,2282.0,April,April 10–28,Low
Uttarakhand,Haridwar,Clay,115,53,48,6.6,940.9,24.3,Wheat,Rabi,14.8,5295.0,2425.0,April,April 10–28,Low
Uttarakhand,Haridwar,Loamy,95,52,31,6.4,1065.8,27.4,Wheat,Rabi,17.2,4789.0,2265.0,April,April 10–28,Low
Uttarakhand,Haridwar,Sandy Loam,118,47,44,6.4,1184.3,25.0,Wheat,Rabi,12.0,5319.0,2295.0,April,April 10–28,Low
Uttarakhand,Haridwar,Sandy Loam,108,65,36,6.7,1053.5,27.3,Wheat,Rabi,10.4,5201.0,2174.0,April,April 10–28,Low
Uttarakhand,Haridwar,Sandy Loam,119,63,39,6.7,964.2,27.0,Wheat,Rabi,14.5,5061.0,2155.0,April,April 10–28,Low
Uttarakhand,Haridwar,Loamy,125,42,23,7.3,1122.1,28.0,Wheat,Rabi,14.0,4952.0,2331.0,April,April 10–28,Low
Uttarakhand,Haridwar,Sandy Loam,120,71,52,6.0,989.4,22.5,Wheat,Rabi,12.3,5090.0,2270.0,April,April 10–28,Low
Uttarakhand,Haridwar,Sandy Loam,136,78,43,6.3,967.5,23.1,Wheat,Rabi,15.7,4780.0,2292.0,April,April 10–28,Low
Uttarakhand,Haridwar,Sandy Loam,175,92,110,6.3,1024.0,25.4,Potato,Rabi,76.9,9522.0,1351.0,February,Feb 15–March 05,High
Uttarakhand,Haridwar,Alluvial,156,88,95,6.1,975.6,24.8,Potato,Rabi,41.3,8793.0,1478.0,February,Feb 15–March 05,High
Uttarakhand,Haridwar,Sandy Loam,155,74,124,6.4,800.7,23.8,Potato,Rabi,80.3,8941.0,1386.0,February,Feb 15–March 05,High
Uttarakhand,Haridwar,Alluvial,168,70,103,5.9,879.7,23.9,Potato,Rabi,53.0,8966.0,1364.0,February,Feb 15–March 05,High
Uttarakhand,Haridwar,Loamy,158,75,82,5.9,886.3,21.2,Potato,Rabi,86.0,8751.0,1364.0,February,Feb 15–March 05,High
Uttarakhand,Haridwar,Clay,137,85,85,6.2,1002.8,25.5,Potato,Rabi,39.1,9865.0,1391.0,February,Feb 15–March 05,High
Uttarakhand,Haridwar,Sandy Loam,155,99,98,5.7,789.6,26.2,Potato,Rabi,95.3,9070.0,1326.0,February,Feb 15–March 05,High
Uttarakhand,Haridwar,Loamy,155,84,79,6.1,945.9,23.7,Potato,Rabi,65.2,8794.0,1410.0,February,Feb 15–March 05,High
Uttarakhand,Haridwar,Loamy,138,96,109,6.2,1090.6,27.6,Potato,Rabi,65.8,8779.0,1378.0,February,Feb 15–March 05,High
Uttarakhand,Haridwar,Clay,133,69,102,6.4,798.7,19.8,Potato,Rabi,70.0,9216.0,1380.0,February,Feb 15–March 05,High
Uttarakhand,Haridwar,Clay,154,62,107,6.0,1097.7,24.4,Potato,Rabi,55.5,8746.0,1346.0,February,Feb 15–March 05,High
Uttarakhand,Haridwar,Alluvial,129,85,107,6.2,911.7,23.9,Potato,Rabi,56.5,8946.0,1382.0,February,Feb 15–March 05,High
Uttarakhand,Haridwar,Clay,121,79,112,6.2,915.0,24.8,Potato,Rabi,47.9,9066.0,1343.0,February,Feb 15–March 05,High
Uttarakhand,Haridwar,Alluvial,168,81,90,6.5,1062.0,27.5,Potato,Rabi,52.8,9807.0,1391.0,February,Feb 15–March 05,High
Uttarakhand,Haridwar,Alluvial,150,88,102,5.8,1060.0,23.8,Potato,Rabi,48.9,9280.0,1343.0,February,Feb 15–March 05,High
Uttarakhand,Haridwar,Loamy,132,79,101,6.2,754.0,24.1,Potato,Rabi,87.5,8779.0,1346.0,February,Feb 15–March 05,High
Uttarakhand,Haridwar,Clay,131,72,106,5.8,828.1,22.0,Potato,Rabi,57.5,9119.0,1444.0,February,Feb 15–March 05,High
Uttarakhand,Haridwar,Loamy,144,72,113,6.5,844.4,27.0,Potato,Rabi,72.9,8921.0,1315.0,February,Feb 15–March 05,High
Uttarakhand,Haridwar,Loamy,146,88,102,6.2,946.4,25.2,Potato,Rabi,58.4,8945.0,1453.0,February,Feb 15–March 05,High
Uttarakhand,Haridwar,Clay,151,98,112,5.8,949.7,26.6,Potato,Rabi,51.8,8876.0,1389.0,February,Feb 15–March 05,High
Uttarakhand,Haridwar,Sandy Loam,164,76,106,5.7,794.3,25.5,Potato,Rabi,83.7,9545.0,1384.0,February,Feb 15–March 05,High
Uttarakhand,Haridwar,Loamy,162,76,105,5.3,728.3,26.7,Potato,Rabi,95.6,9884.0,1298.0,February,Feb 15–March 05,High
Uttarakhand,Haridwar,Clay,113,90,98,6.3,892.9,21.0,Potato,Rabi,51.2,9205.0,1355.0,February,Feb 15–March 05,High
Uttarakhand,Haridwar,Clay,171,88,100,6.0,908.9,22.2,Potato,Rabi,74.5,9267.0,1425.0,February,Feb 15–March 05,High
Uttarakhand,Haridwar,Clay,152,71,95,6.0,761.3,25.4,Potato,Rabi,63.8,9170.0,1460.0,February,Feb 15–March 05,High
Uttarakhand,Haridwar,Alluvial,150,83,86,5.9,945.3,26.8,Potato,Rabi,51.5,9010.0,1350.0,February,Feb 15–March 05,High
Uttarakhand,Haridwar,Clay,181,83,93,6.3,881.0,21.5,Potato,Rabi,47.5,9479.0,1435.0,February,Feb 15–March 05,High
