location,zone_id,ward,rainfall_1h,rainfall_6h,rainfall_24h,previous_rainfall,elevation,slope,drainage_density,built_up_percentage,distance_to_waterbody,historical_flood_frequency,flooded,water_depth_cm,data_source
IIT Roorkee Campus,ZONE-RK01,Ward 04,59.0,219.6,551.0,253.6,268.0,0.75,2.98,74.6,0.29,6,1,66.5,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,43.2,202.7,557.9,243.7,268.11,0.84,2.78,76.2,0.3,6,1,65.3,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,58.8,210.1,482.7,232.1,268.25,0.86,2.73,75.3,0.32,6,1,68.9,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,65.8,216.9,521.8,242.9,268.03,0.78,2.86,75.1,0.26,6,1,67.4,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,56.0,218.3,441.0,234.8,268.25,0.79,2.57,73.5,0.27,6,1,67.0,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,51.5,172.8,448.7,249.2,268.03,0.86,2.87,74.5,0.36,6,1,66.7,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,59.9,193.6,411.0,231.5,268.06,0.78,2.91,74.7,0.33,6,1,69.6,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,62.0,211.8,453.5,229.9,268.03,0.78,2.94,75.6,0.31,6,1,65.2,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,53.3,203.1,548.8,253.1,267.79,0.85,2.8,75.1,0.34,6,1,69.2,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,53.4,204.0,478.0,238.4,268.28,0.73,2.91,74.6,0.25,6,1,68.9,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,51.5,246.6,468.2,251.5,267.88,0.87,2.67,72.6,0.29,6,1,69.4,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,64.6,213.6,425.1,237.6,267.73,0.75,2.9,75.3,0.27,6,1,65.2,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,57.7,218.3,433.7,242.8,268.48,0.87,2.68,75.1,0.39,6,1,69.5,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,54.5,168.6,442.0,237.3,267.71,0.73,2.73,73.4,0.29,6,1,64.6,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,46.2,184.8,555.6,242.7,267.85,0.79,2.78,74.4,0.28,6,1,68.6,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,42.4,203.4,462.2,246.7,268.3,0.9,2.74,75.8,0.33,6,1,66.7,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,45.0,195.8,476.9,221.7,268.19,0.82,2.92,74.8,0.36,6,1,67.2,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,60.2,201.9,496.8,244.9,267.87,0.76,2.95,75.5,0.34,6,1,67.1,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,63.2,249.9,527.8,238.2,267.84,0.81,2.82,74.8,0.32,6,1,66.7,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,56.3,208.7,462.0,245.8,268.02,0.82,3.1,76.2,0.31,6,1,68.1,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,55.6,211.5,446.0,241.7,267.82,0.77,2.6,73.8,0.34,6,1,65.9,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,58.3,223.1,527.1,223.1,268.29,0.79,2.91,76.9,0.29,6,1,69.2,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,58.0,207.8,428.2,246.3,268.2,0.82,2.94,76.5,0.31,6,1,68.1,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,64.9,222.5,430.8,253.1,268.06,0.87,2.52,76.6,0.33,6,1,68.2,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,55.4,235.8,519.8,232.6,268.18,0.85,2.72,75.1,0.33,6,1,66.3,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,53.4,199.9,484.8,246.6,267.77,0.8,2.95,74.4,0.39,6,1,69.2,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,60.3,165.4,513.3,248.6,268.08,0.87,2.68,72.8,0.3,6,1,69.3,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,54.4,196.9,501.2,239.8,267.98,0.84,2.74,74.7,0.27,6,1,68.4,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,54.7,210.5,477.9,230.7,268.25,0.79,3.0,72.2,0.29,6,1,67.7,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,34.0,136.3,292.6,104.3,268.17,0.86,2.76,75.2,0.23,6,1,67.7,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,34.5,128.4,299.4,108.1,267.97,0.83,2.75,74.8,0.31,6,1,66.6,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,38.1,141.4,292.7,113.3,268.12,0.91,2.9,75.0,0.25,6,1,64.3,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,32.1,142.6,273.8,114.0,267.97,0.83,2.91,76.6,0.28,6,1,64.3,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,44.6,123.9,271.8,117.0,268.18,0.82,2.89,73.8,0.27,6,1,69.0,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,37.0,124.1,304.8,122.4,267.98,0.85,2.78,75.9,0.28,6,1,66.1,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,40.4,119.5,308.4,95.0,267.78,0.8,2.86,75.0,0.31,6,1,69.7,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,37.1,129.5,283.4,106.8,268.18,0.75,2.68,76.6,0.29,6,1,67.7,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,32.8,115.2,341.5,109.4,268.04,0.83,2.81,75.0,0.32,6,1,65.0,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,34.5,121.9,285.1,98.7,268.09,0.81,2.83,74.5,0.3,6,1,64.7,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,32.8,157.8,311.9,120.8,268.1,0.73,2.79,73.7,0.28,6,1,64.6,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,40.5,156.5,277.1,115.5,268.14,0.75,2.91,75.7,0.24,6,1,66.2,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,43.3,125.1,285.3,107.8,267.95,0.79,2.83,75.5,0.34,6,1,65.2,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,34.1,144.1,310.0,98.2,267.77,0.75,2.63,74.9,0.26,6,1,69.6,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,40.3,141.5,297.9,121.6,267.93,0.7,2.86,75.0,0.38,6,1,64.5,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,40.1,135.3,351.5,108.9,268.38,0.85,2.87,76.2,0.26,6,1,64.3,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,41.2,130.3,286.3,110.5,267.89,0.79,2.81,75.2,0.3,6,1,64.3,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,27.3,131.5,336.8,110.9,268.0,0.82,2.8,74.2,0.31,6,1,65.0,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,40.8,129.3,321.2,108.6,267.85,0.84,2.8,75.4,0.38,6,1,67.6,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,36.5,113.5,252.4,103.9,267.77,0.75,3.02,74.2,0.33,6,1,68.2,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,40.1,142.6,311.8,110.2,268.04,0.86,2.82,74.0,0.3,6,1,65.1,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,31.8,143.6,294.3,121.2,268.2,0.82,2.83,76.3,0.31,6,1,68.2,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,32.0,122.4,250.0,114.5,268.21,0.86,2.67,76.9,0.27,6,1,67.6,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,29.1,127.2,317.2,97.8,267.86,0.74,2.73,71.9,0.29,6,1,67.4,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,35.9,129.0,235.3,99.4,267.81,0.74,2.89,73.7,0.28,6,1,67.3,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,39.7,113.5,289.8,99.6,268.39,0.73,2.87,74.1,0.33,6,1,66.5,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,38.6,117.7,244.3,102.2,268.07,0.77,2.96,75.0,0.27,6,1,69.5,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,36.0,127.3,260.4,115.4,267.73,0.78,2.99,72.6,0.28,6,1,67.4,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,36.1,134.5,292.1,104.6,268.35,0.79,2.61,75.0,0.32,6,1,68.0,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,33.6,115.6,316.4,104.2,268.02,0.82,2.9,75.7,0.36,6,1,68.8,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,34.4,140.2,315.7,112.2,268.02,0.76,2.68,75.9,0.32,6,1,65.4,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,32.5,120.3,287.5,125.7,267.85,0.84,2.84,74.0,0.19,6,1,66.7,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,33.6,127.3,335.0,105.0,268.02,0.83,2.76,72.1,0.32,6,1,67.6,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,26.4,132.8,289.7,104.9,267.86,0.83,2.74,73.5,0.32,6,1,64.4,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,22.9,126.1,240.7,115.7,267.97,0.86,2.58,74.4,0.39,6,1,65.6,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,25.0,93.9,185.1,93.1,268.05,0.79,2.69,74.0,0.31,6,1,65.8,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,27.0,120.7,180.8,87.2,267.92,0.75,2.82,75.7,0.28,6,1,67.2,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,25.5,95.0,197.9,83.7,268.04,0.87,2.8,75.0,0.32,6,1,66.4,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,25.5,82.4,142.2,66.8,268.14,0.78,2.7,74.8,0.28,6,1,56.9,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,22.6,84.7,168.7,75.9,268.06,0.8,2.62,76.3,0.31,6,1,63.8,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,20.7,85.6,223.8,91.7,267.98,0.84,2.67,75.2,0.3,6,1,68.6,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,23.4,104.7,187.8,69.2,268.02,0.84,2.71,75.3,0.26,6,1,66.1,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,23.8,88.1,187.1,81.3,268.18,0.83,2.53,75.9,0.35,6,1,63.4,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,23.2,78.3,193.7,80.0,267.93,0.78,2.74,75.0,0.24,6,1,64.1,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,24.2,84.9,215.4,84.4,268.02,0.73,2.8,74.6,0.3,6,1,69.2,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,23.5,108.2,212.3,81.1,267.95,0.79,2.86,75.7,0.27,6,1,67.8,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,28.3,103.5,210.4,79.7,268.08,0.84,2.73,74.7,0.28,6,1,69.5,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,25.9,99.5,206.2,79.3,268.24,0.76,2.66,75.9,0.32,6,1,64.9,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,26.4,96.9,183.7,62.1,267.58,0.79,2.7,75.6,0.34,6,1,63.4,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,26.9,100.3,199.7,92.1,267.89,0.76,2.82,74.5,0.29,6,1,67.0,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,22.2,92.6,187.8,79.3,267.58,0.87,2.85,74.9,0.3,6,1,65.8,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,25.4,102.7,231.1,83.7,268.34,0.73,2.89,74.9,0.3,6,1,64.2,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,24.5,96.3,205.4,85.8,268.0,0.82,2.72,74.2,0.25,6,1,66.2,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,22.9,85.8,212.2,64.9,267.98,0.76,2.88,75.3,0.28,6,1,63.7,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,31.6,97.9,209.5,61.7,267.88,0.85,2.78,74.1,0.33,6,1,66.6,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,22.6,93.7,209.9,82.6,267.77,0.75,2.79,75.0,0.35,6,1,64.8,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,23.8,83.1,168.4,76.1,268.03,0.86,2.79,75.6,0.36,6,1,62.6,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,18.2,80.9,173.7,86.4,268.39,0.75,2.73,74.5,0.27,6,1,63.9,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,24.7,98.6,221.2,65.2,268.06,0.85,2.75,75.2,0.28,6,1,67.0,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,22.5,102.3,194.9,84.4,267.58,0.76,2.72,73.5,0.29,6,1,68.1,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,21.7,87.2,189.3,77.5,268.12,0.79,2.68,76.5,0.37,6,1,65.9,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,21.9,101.5,157.5,91.6,267.85,0.82,2.73,74.3,0.31,6,1,63.6,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,22.9,100.5,227.7,94.6,267.92,0.8,2.84,75.1,0.36,6,1,66.4,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,27.2,87.1,212.2,82.5,268.12,0.74,2.83,74.0,0.35,6,1,64.2,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,27.3,97.1,220.7,76.4,267.73,0.79,2.86,76.3,0.32,6,1,65.0,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,26.1,100.7,209.2,75.7,267.9,0.86,2.73,76.0,0.26,6,1,63.6,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,22.5,91.1,198.2,64.6,268.07,0.75,2.53,76.3,0.27,6,1,66.5,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,19.3,80.4,203.0,71.9,267.68,0.72,2.83,75.5,0.28,6,1,66.8,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,24.8,93.1,182.3,76.7,268.31,0.82,2.76,75.5,0.28,6,1,66.5,Roorkee & Haridwar Hydro-Meteorological Station Dataset
