state,district,isro_atlas_rank,geographic_region,lithology,elevation_m,slope_deg,soil_thickness_m,soil_saturation_pct,vegetation_ndvi,rainfall_1h_mm,rainfall_24h_mm,previous_7d_rainfall_mm,landslide_probability,landslide_occurred,data_source
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1953.0,43.7,3.2,23.7,0.67,0.6,3.1,15.7,0.6647,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1727.0,39.1,1.8,43.5,0.42,16.2,61.5,223.4,0.9939,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1769.0,36.1,3.0,56.4,0.67,8.3,50.8,238.5,0.9853,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1960.0,46.8,2.4,58.0,0.45,19.6,63.4,270.5,0.9993,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1809.0,39.5,3.5,25.1,0.64,8.9,31.3,101.8,0.9195,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1521.0,42.4,2.6,39.0,0.42,8.7,29.2,85.7,0.9591,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1871.0,37.4,3.0,46.2,0.81,20.6,61.3,205.7,0.9913,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1874.0,51.7,2.3,34.0,0.39,10.1,31.1,138.9,0.9904,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1799.0,38.1,3.2,29.3,0.25,12.1,49.0,137.7,0.9842,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1724.0,44.6,3.2,38.5,0.22,12.6,49.7,204.1,0.9969,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,2109.0,45.9,4.3,43.2,0.73,8.0,45.0,129.8,0.9883,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1589.0,47.6,3.0,56.6,0.47,10.4,61.9,290.3,0.999,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1693.0,45.5,3.5,83.2,0.64,48.5,182.7,587.0,1.0,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,2025.0,48.8,1.4,41.2,0.82,11.4,47.9,206.2,0.9875,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1899.0,48.1,2.0,32.1,0.71,10.7,37.4,150.3,0.9756,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1726.0,43.2,2.5,22.9,0.27,1.4,4.2,18.7,0.7853,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1768.0,48.8,2.4,32.8,0.61,10.4,47.4,122.0,0.9862,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1825.0,53.4,3.4,79.8,0.45,37.0,134.0,526.4,1.0,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1776.0,42.7,2.9,28.7,0.48,4.6,18.2,74.6,0.8965,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1809.0,43.0,1.9,56.8,0.55,18.6,94.4,308.3,0.9995,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1800.0,40.4,3.3,80.3,0.41,40.8,158.7,461.9,1.0,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1747.0,44.3,2.0,37.6,0.59,8.8,47.3,169.7,0.9813,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1790.0,43.4,1.4,38.1,0.83,3.8,21.2,100.4,0.8153,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1766.0,38.3,1.1,22.2,0.72,0.2,1.1,3.1,0.259,0,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,2115.0,34.8,2.6,25.4,0.63,2.0,12.8,33.6,0.5077,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1639.0,39.0,2.5,15.0,0.46,2.9,13.9,46.9,0.6807,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,2037.0,43.9,2.2,18.6,0.54,0.6,3.5,19.0,0.6264,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1797.0,46.4,2.1,49.1,0.43,14.1,41.4,224.6,0.9957,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1588.0,41.2,3.0,99.0,0.53,46.2,165.3,804.7,1.0,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1884.0,49.9,2.8,34.0,0.44,2.3,8.0,30.4,0.9223,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1896.0,51.4,2.0,99.0,0.41,44.0,132.7,683.8,1.0,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1961.0,41.3,2.4,51.5,0.35,13.6,77.4,242.7,0.9984,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1717.0,36.6,1.6,54.7,0.64,8.6,40.5,218.5,0.9656,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1668.0,39.3,1.6,40.1,0.51,7.8,30.1,129.8,0.926,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1999.0,38.6,3.3,31.6,0.25,2.2,11.0,43.2,0.8508,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1677.0,44.8,3.5,40.0,0.81,10.8,61.6,200.3,0.9931,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1497.0,46.4,3.7,41.6,0.62,9.2,28.8,138.8,0.9833,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1719.0,39.6,2.0,36.6,0.76,8.9,26.8,119.6,0.8783,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1857.0,47.0,1.3,20.5,0.73,6.7,27.9,78.8,0.8662,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1683.0,44.9,2.7,93.7,0.67,24.2,155.1,575.6,1.0,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1969.0,43.3,2.9,29.4,0.3,2.8,12.8,35.0,0.8875,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1964.0,52.2,2.6,44.9,0.39,14.7,48.8,212.6,0.9985,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1906.0,46.9,3.4,38.5,0.44,4.2,23.7,110.0,0.9739,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1717.0,39.4,4.5,32.5,0.61,10.3,36.8,187.1,0.9801,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1752.0,41.2,2.8,36.7,0.25,13.5,48.7,164.6,0.9923,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1833.0,44.3,0.9,53.2,0.75,11.7,60.6,330.6,0.9955,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1846.0,41.8,2.2,84.7,0.64,25.7,102.8,544.3,1.0,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1745.0,45.2,3.7,28.1,0.66,2.5,14.8,57.3,0.8797,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1877.0,43.2,2.6,44.6,0.29,15.1,55.3,275.1,0.9981,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1811.0,46.0,2.7,99.0,0.81,111.3,385.0,1285.9,1.0,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1743.0,45.0,2.5,31.8,0.63,6.8,25.6,65.1,0.9179,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1971.0,44.4,1.9,85.5,0.3,23.8,143.6,528.4,1.0,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,2121.0,46.6,2.1,49.5,0.22,21.4,65.5,233.5,0.9993,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,2113.0,43.0,2.5,24.9,0.28,0.2,0.6,2.0,0.7306,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1860.0,50.2,3.6,57.6,0.79,37.7,114.0,308.3,1.0,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1980.0,47.9,3.8,23.5,0.64,4.8,15.2,38.4,0.9097,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1693.0,43.6,2.5,24.0,0.77,10.6,31.8,104.6,0.9201,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1747.0,36.0,2.7,22.4,0.78,0.3,1.1,5.7,0.2945,0,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1866.0,38.0,3.2,31.7,0.31,6.1,27.5,110.5,0.9409,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1895.0,36.5,2.9,24.1,0.73,3.0,18.8,75.5,0.6565,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1870.0,47.5,3.6,32.0,0.77,7.4,41.6,136.1,0.9796,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1903.0,40.4,3.1,20.2,0.29,3.6,17.5,50.3,0.8626,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1770.0,40.3,2.8,26.1,0.55,0.2,1.0,3.6,0.5651,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1828.0,37.4,2.6,28.6,0.53,3.2,12.6,55.6,0.7063,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1713.0,44.2,1.3,49.9,0.4,10.4,33.7,181.3,0.985,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1845.0,53.2,2.0,37.4,0.44,6.5,23.3,111.1,0.9826,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1769.0,40.9,1.7,61.4,0.48,15.2,89.8,417.7,0.9996,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1926.0,48.2,1.6,23.2,0.38,0.5,2.0,7.6,0.7648,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1734.0,37.9,3.0,23.6,0.65,8.5,25.9,98.8,0.8543,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,2035.0,49.7,2.3,28.0,0.66,3.4,9.9,42.4,0.8649,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1903.0,48.0,3.2,37.3,0.48,10.4,44.0,124.1,0.9915,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1868.0,48.2,3.0,81.3,0.85,32.1,115.9,492.8,1.0,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1902.0,34.6,1.1,99.0,0.35,79.0,227.2,848.2,1.0,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1825.0,46.9,2.7,24.8,0.22,5.7,20.2,102.6,0.9667,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1914.0,40.9,3.4,45.8,0.72,12.2,41.4,162.4,0.9815,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1687.0,40.4,3.2,45.4,0.74,9.3,50.9,262.5,0.9898,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1618.0,44.6,2.0,29.6,0.7,3.3,17.4,56.3,0.8043,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1994.0,44.4,3.7,40.7,0.72,8.6,29.2,136.6,0.972,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1855.0,35.1,1.5,34.3,0.65,6.6,30.7,107.8,0.7857,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1842.0,42.1,2.3,23.5,0.52,1.6,7.3,39.0,0.698,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1877.0,34.1,3.3,15.0,0.85,0.4,1.5,7.7,0.2263,0,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1726.0,46.1,2.2,51.2,0.34,15.6,76.5,324.7,0.9995,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1923.0,49.8,3.2,49.8,0.72,14.4,62.2,229.4,0.9984,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1717.0,41.5,1.5,89.7,0.46,44.3,129.8,642.3,1.0,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1831.0,37.6,1.6,15.0,0.62,0.5,3.1,14.5,0.3095,0,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,2066.0,40.5,2.5,50.8,0.6,14.2,57.2,178.5,0.9916,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1767.0,44.4,1.9,43.9,0.28,5.9,29.2,140.9,0.9776,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1870.0,37.9,3.2,20.4,0.49,2.3,14.9,70.7,0.7524,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,2033.0,37.4,3.3,40.4,0.48,6.8,34.4,149.0,0.9593,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1755.0,40.4,2.0,51.8,0.4,18.7,81.9,295.8,0.999,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1805.0,49.9,3.2,32.0,0.69,3.4,20.6,91.7,0.9496,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1996.0,30.9,1.7,68.3,0.35,35.2,105.1,455.6,0.9999,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1669.0,44.4,1.3,37.3,0.46,15.1,46.3,176.4,0.9881,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,2076.0,45.0,1.3,61.1,0.51,16.4,83.1,386.3,0.9996,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,2009.0,43.0,4.5,22.1,0.33,5.0,15.4,79.7,0.945,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1879.0,47.4,1.6,69.0,0.39,14.1,64.1,333.1,0.9995,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1928.0,39.2,3.3,63.2,0.79,31.8,107.1,363.0,0.9999,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1738.0,34.0,2.5,92.9,0.23,27.0,133.3,621.8,1.0,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1597.0,29.8,2.3,43.5,0.65,8.9,57.5,193.7,0.9429,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,2070.0,47.2,1.2,44.8,0.81,14.5,55.1,244.0,0.9928,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1552.0,40.8,1.6,32.6,0.73,5.9,23.2,62.0,0.7735,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1720.0,40.5,2.9,28.6,0.31,5.1,22.9,111.5,0.9353,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1728.0,35.2,3.4,40.2,0.68,11.5,44.5,159.3,0.9614,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1948.0,38.9,2.8,25.3,0.28,3.6,19.5,90.4,0.8858,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,2012.0,30.7,2.2,60.2,0.21,24.3,84.0,340.9,0.9992,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1848.0,37.8,3.6,27.2,0.71,3.9,16.2,47.2,0.7256,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1870.0,43.3,3.2,80.8,0.24,14.0,78.3,426.1,0.9999,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1743.0,44.4,3.7,61.2,0.52,15.1,92.3,296.5,0.9997,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1777.0,36.9,1.7,38.4,0.79,8.4,45.3,136.8,0.9022,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1894.0,38.9,2.1,48.9,0.62,14.1,44.1,148.5,0.9756,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,2037.0,44.0,3.1,46.5,0.68,19.8,57.8,155.8,0.9954,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1816.0,45.8,2.7,33.7,0.26,4.2,14.2,70.5,0.9475,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1929.0,40.8,2.8,21.6,0.75,2.3,9.6,48.9,0.6237,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,2065.0,41.8,3.3,62.1,0.47,18.3,103.5,357.2,0.9999,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1684.0,47.7,1.8,21.3,0.31,1.6,7.8,39.9,0.8531,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1794.0,43.2,1.1,52.0,0.83,7.5,35.5,173.2,0.9511,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1842.0,37.9,1.4,33.2,0.25,6.6,26.0,129.3,0.917,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1586.0,38.1,3.3,80.0,0.52,21.7,89.8,490.1,0.9999,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1564.0,45.8,0.5,31.4,0.22,6.8,35.2,101.1,0.9615,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1798.0,44.5,2.0,75.6,0.77,22.6,101.2,507.4,0.9999,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1847.0,52.8,1.5,73.1,0.67,25.2,83.1,419.5,0.9999,1,ISRO NRSC Landslide Atlas of India (2023)
